Property reference,Postal District,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15
672,S10,12.55,2.07,203.39,393.93,449.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
675,S10,298.42,473.82,333.77,347.67,336.9,160.97,110.41,20.5,249.77,645.23,553.3,248.65,242.03,443.04,535.48,155.97,344.42,117.2,0.48,1.45,0,0,0,0,0.74,0,186.73,410.95,614.83,432.2,425.29,305.84,507.4,864.71,645.54,423.71,673.77,639.33,583.75,592.38,665.21,435.03,225.71,181.19,405.89,843.69,565.55,366.85,435.31,548.23,542.44,502.23,601.58,516.12,113.72,117.32,183.69,727.79,653.25,423.61,249.56,567.84,432.41,490.11,747.46,489.15
678,S11,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1044.62,394.57,392.41,407.12,432.03,474.95,454.89,468.99,432.57,453.08,407.1,450.37,688.77,340.6,432.63,467.51,426.52,,416.94,565.54,427.47,442.04,426.42,381.15,,,,,507.05,476.85,520.14,611.61,572.28,427.85,416.85,456.36,403.05,360.06,367.26,396.24,452.29,375.53,412.91,371.88,447.21,404.27,394.19
679,S10,,,195.61,173.13,177.65,193.63,167.15,173.96,170.5,189.16,180.23,192.32,154.06,0,0,0,0,0.03,0,80.06,168.5,178.71,188.1,212.29,169.35,149.41,166.77,174.63,164.48,135.7,107.71,189.26,155.87,174.13,179.33,182.52,154.72,117.54,121.15,130.77,108.99,77.1,26.45,34.08,146.31,94.14,94.72,154.25,76.09,71.58,126.92,103.1,60.78,115.49,115.69,158.89,187.41,154.65,131.28,171,102.09,,74.93,91.9,225.87,272.18
682,S11,1.97,1.75,0,,0.31,0.13,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
683,S9,1120.66,600.48,682.26,395.78,564.06,534.17,337.94,413.27,381.22,496.74,105.6,123.85,122.95,126.41,127.39,123.23,,200.35,146.13,93.43,,,,148.79,169.97,212.71,175.55,141.42,154.19,118.57,135.52,103.94,130.08,145.77,165.05,170.5,159.81,170.43,166.48,117.78,78.01,92.19,131.08,99.67,123.07,,,,,,,,,,,,,,,,,,,,,
686,WF7,618.39,640.04,612.42,503.17,656.58,763.2,1137,963.23,1513.23,2126.71,2740.2,2138.97,852.71,706.29,1972.71,2707.57,578.45,498.07,21.48,0,0,701.34,650.71,545.07,698.58,632.61,775.9,649.83,224.76,0,273.71,489.68,807.63,610,640.97,787.1,809.45,775.43,711.35,686.8,596,,,,,,,,,,,,,756.88,835.39,473.12,642,516.69,577.14,688.68,657.64,599.04,574.33,594.96,607.4,677.5
689,S60,379.23,364.18,367.55,364.8,374.52,428.8,379.16,415.61,378.87,320,331,358.71,330.35,364.86,323.16,348.2,348.06,348.5,397.32,263.19,313,277.87,304.87,338.19,317.74,316.21,348.82,337.47,395.62,448.59,414.34,422.05,566.32,373.61,386.87,426.77,382.32,367.04,394.68,379.62,375.65,373.02,383.37,398.31,390.36,349.99,360.52,396.42,339.45,298.74,375.83,379.91,354.41,362.25,454.5,439.23,400.41,374.43,348.06,419.18,389.41,421.43,400.86,431.4,438.85,445.11
690,HU4,74.35,345.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
691,S13,126.77,303.57,120.26,131.87,144,137.93,130.29,119.29,108.9,0.32,0,,3.49,0,0,0,0,2.77,0,61.09,89.6,,,122.02,132.23,134.52,140.96,128.4,127.02,118.92,122.35,140.65,151.93,123.74,137.3,136.74,131.32,129.32,122.28,132.26,140.09,131.67,121.08,,,,,117.56,128.58,118.41,128,124.56,129.31,150.18,135.09,129.19,90.42,0,78.33,131.86,128.32,142.26,131.93,140.09,126.15,152.88
693,S13,400.26,396.68,391.84,398.1,401.61,414.97,304.77,287.39,369.53,374.13,407.37,,,,,,,,,,426.16,417.94,399.77,385.23,379.42,393.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
696,S13,359.52,299.21,295.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
698,S17,340.04,335.5,393.79,378.99,367.95,791.86,460.32,402.83,351.12,319.66,453.26,521.52,440.03,465.96,397.14,73.39,0,0,,0,636.71,395.9,411.69,145.33,67.51,280.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
700,S35,117.92,96.41,82.95,105.8,99.15,90.56,,,91.03,84.42,79.88,80.56,99.74,84.63,94.17,,,,,81.63,89.33,90.32,29.67,0,56.97,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
704,S35,131.35,133.7,131.84,136.68,126.87,129.22,,,,0,3314.03,0.03,0,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
705,S35,252.58,195.46,218.1,251.5,313,221.63,314.55,266.81,283.43,225.19,242.33,241.84,254.03,185.32,124.39,316.7,251.97,368.8,343,213.35,197.57,156.58,221.1,192.21,218.97,220.38,223.81,219.3,145.74,214.27,227.19,222,255.77,216.61,132.37,241.32,238.71,213.82,142.05,241.14,193.73,389.85,362.47,283.5,186.78,212.72,114.45,223.46,230.08,232.17,135.37,242.58,310.27,342.45,447.62,296.39,179.4,250.61,244.77,140.11,255.22,252.48,215.27,222.81,268.81,394.13
707,S80,134.97,143.07,171.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
709,S17,154.03,151.18,156.97,176.07,153.97,139.1,148.52,152.25,89.63,126.19,138.9,148.35,61.65,0,0,55.45,2719.16,0,0,88.45,93.63,159.85,120.03,161.39,163.9,144.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
710,S35,1125.52,2181.11,1948.1,174.83,,355.86,258.35,364.58,395,398,395.8,401,202.84,317.61,316.32,347.03,428.61,384.23,396.23,346.74,296.8,321.97,315.2,285.95,142.29,0,44.87,387.77,488.16,422.87,480.97,677.58,490.63,448.97,406.93,366.26,396.18,507.46,516.54,606.3,568.63,600.3,1338.07,371.15,251.28,298.04,312.23,304.43,293.08,260.97,305.11,297.93,298.89,317.94,420.18,301.94,299.34,243.78,296.67,286.61,299.5,324.84,311.85,349.05,477.29,551.69
711,S35,210.55,241.36,212.9,294.3,153.61,285.57,475.65,206.77,245.87,229.77,188.83,288.35,288.03,262.07,255.16,252.27,262.84,172.47,340.71,430.61,190.13,234.52,160.23,210.42,219.71,1340.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
713,S35,328.84,285.39,282.61,274.97,292.32,270.73,150.19,299.58,295.83,176.03,287.97,308.45,301.77,300.39,298.03,327.63,303.68,308.3,362.74,259.32,297.1,310.58,265.67,268,253.74,260.62,269.21,263.3,240.1,239,231.13,147.65,234.4,223.55,237.8,246,235.24,254.25,251.36,285.55,311.2,286.02,153.67,261.03,262.9,311.93,310.77,316.83,312.01,298.77,306.42,465.58,406.26,313.86,275.4,174.43,295.26,252.44,304.02,322.49,352.13,337.23,268.64,245.43,289.02,276.63
716,S35,274.9,275.43,279.71,272.33,293.39,270.8,278.48,279.32,294.57,285.26,284.93,283.06,299.19,303.79,303.81,300.07,293.19,282.63,286.97,307.3,287.87,282.52,276.87,287.58,297.81,302.66,278.65,292.43,282.74,276.8,216.52,278.52,289.57,273.45,293.33,264.16,291.16,300.17,279.64,287.95,275.53,298.54,,,,,,237.87,188.95,,,,,,,,,,,,,,,,,
717,S35,271.71,271.61,211.02,213.58,220.05,215.46,224.75,152.95,184.93,,,,,,,,,,,0,0,0,0,0.03,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
719,S35,65.13,61.04,65.61,60.83,65.23,128.7,120.32,84.19,61.97,99.03,65.1,82.1,223.35,135.54,116.13,111.47,128,117.2,70.23,54.06,73.53,52.1,62.2,60.64,59.55,62.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
720,S36,419.23,489.29,481.29,300.8,0,123.43,380.16,413.45,412.47,502.42,573.5,765.03,803.48,670.5,613,591.03,529.35,113.2,0,1.45,0,0,36.53,510.29,470.48,405.1,482.01,522.07,532.19,303.44,498.87,456.26,502.23,495.06,463.35,488.68,510.52,499.79,504.54,488.94,408.97,309.12,502.4,487.28,519.35,,,454.95,435.8,480.95,442.99,459.69,528.68,377.28,479.24,457.37,506.7,514.92,506.82,530.25,510.59,446.72,418.07,464.82,441.64,410.66
721,S36,211.42,222,218.52,256.6,210.94,210,177.39,252.41,211.33,238.23,215.1,208.42,230.58,230.5,211.94,306.07,252.06,267.1,178.03,217.26,220.6,234.29,217.87,215.47,223.23,230.62,223.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722,S36,365.19,373.14,366.45,335.8,337.55,350.23,588.48,59.61,0,0,0,0,206.1,317.39,367.55,281.87,303.35,360.1,267.71,0,0,0,0,0,0.29,0,742.16,0.03,0,0.18,0,79.81,0,0,0.13,0.03,666.19,62.75,519.01,63.15,38.47,0.06,0,,,,,,,,,,,,,,,,,,,,,,,
727,S26,195.48,233.54,228.1,202.93,270.9,256.6,241.55,269.77,251.57,188.71,215.1,247.52,223.16,213.04,210.42,233.03,181.84,226.83,227.26,198.42,178.07,88.45,110.77,83.16,110.23,154.21,101.72,96.54,86.63,86.07,90.19,109.97,134.03,73.32,87,55.1,89.17,161.29,116.45,138.48,98.65,114.17,88.08,114.79,130.62,79.68,98.55,82.16,112.5,86.24,82.62,119.22,105.21,132.03,84.08,116.39,137.76,80.39,107.01,86.81,125.8,115.55,82.11,123.09,108.12,150.98
729,S25,327.35,211.04,211.87,712.2,331.94,867.77,512.48,475.29,440.2,,,,,,,,314.99,1040.87,1153.16,825.52,151.5,,,194.37,227.68,315.07,333.18,219.66,552.91,383.94,440.99,150.27,,,,,0,225.97,324.79,223.06,336.07,575.7,688.3,224.35,355.89,256.4,242.31,267.1,303.24,287.9,736.26,418.13,531.81,496.86,363.25,293.78,313.95,332.25,304.08,331.26,316.68,301.24,292.59,590.73,276.24,302.05
730,S25,207.68,238.89,218.23,172.53,223.68,207.53,74.06,0,41.97,55.35,198.9,206.77,185.61,87.89,169.45,233.47,202.68,213.9,65.81,208.26,95.16,0,0,414.39,243.58,330.59,230.61,178.3,180.14,128.06,262.25,177.32,201.3,263.13,191.17,352.1,210.08,182.7,202.16,196.32,202.19,135.53,375.53,259.84,259.53,249.33,182.12,205.78,209.58,248.21,219.24,230.31,131.76,268.47,378.73,165.14,189.57,304.43,244.44,153.12,215.16,253,239.57,187.73,151,239.29
731,S26,231.58,158.54,226.35,235.4,229.87,318.1,228.52,242.19,265.03,239.19,246.27,230.48,228.81,272.82,240.84,261.89,0,0,0,0,,,,,,,2059.15,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,187.84,0,0,168.45,195.1,168.97,160.42,262.68,252.3,248.77,219.37,179.52,196.35,199.43,166.94,173.17,204.55,199.78
733,S31,,,,,248.99,224.43,236.13,207.97,229.67,190.65,240.43,256.35,205.52,166.93,204.16,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
734,S26,212.03,243.89,135.35,212.17,228.1,241.2,206.84,220.87,211.6,153.71,210.6,213.52,223.61,183.36,198,205.93,207.87,163.3,152.19,153.74,117.8,152.35,161.87,166.87,169.1,176.76,191.67,172.77,169.84,167.19,178.64,160.64,144.43,115.61,161.67,258.64,225.34,167.07,131.39,208.05,198.99,177.21,192.98,217.57,199.23,124.95,171.28,164.72,176.14,182.15,178.51,182.37,180.35,202.08,170.77,185.37,138.99,132.65,192.54,201.24,187.66,234.16,162.55,178.44,171.18,262.86
735,S26,214.32,181.29,224.26,270.23,285.32,288.8,202.35,285.03,56655.67,279.81,271.33,282.94,269.1,288.43,247,322.63,,370.19,260.03,362.91,220.21,244.55,251.63,271.61,239.23,142.62,219.66,214.27,281.15,172.11,189.61,213.87,166.6,184.16,179.87,192.81,176.77,247.71,225.94,231.85,227.93,203.7,249.36,254.24,190.44,199.77,204.9,239.71,193.01,212.56,233.62,219.09,284.75,178.62,264.63,216.44,184.62,214.08,202.62,221.55,202.33,203.95,220.84,231.42,216.03,174.15
741,S60,192.58,190.89,234.9,237.77,167.77,265.33,278.58,232.13,157.6,205.68,180.4,205.13,181.26,195.82,221.45,267,226.81,211.8,256.42,220.18,193.25,195.58,185.47,179.87,182.19,181.52,218.34,176.05,228.7,196.85,197.55,218.03,182.9,190.16,197.17,164.61,182.39,189.68,186.03,199.92,195.93,224.02,,206.31,193.32,170.17,157.62,175.23,162.61,168.2,189.8,186.72,177.03,180.66,214.98,184.3,218.85,182.35,177.48,208.28,178.04,171.39,187.16,223.36,200.61,221.57
742,S60,17130.97,19020.71,7620.66,206.08,173.79,230.79,206.54,198.26,176.56,164,169.31,162.57,179.06,180.14,175.95,188.52,168.13,232.48,488.32,226.87,228.3,197.23,203.19,189.29,211.15,200.21,209.48,114.04,1027.34,2109.52,1544.66,231.8,178.08,201.26,196.4,190.35,207.25,207.21,219.22,221.73,225.45,243.45,281.58,242.01,,199.38,194.91,180.58,188.97,196.08,216.01,197.97,196.97,248.23,249.3,228.31,226.65,201.43,196.12,189.67,188.85,187.04,211.88,210.72,236.35,240.63
743,S61,255.23,251.25,217.77,294.63,259.03,306.7,258.26,229.16,207.1,98.48,171.3,234.81,183.9,245.18,239.16,237.93,257.9,136.87,0,4.55,74.73,0,56.33,183.48,148.16,171.17,169.68,162.27,227.15,175.59,241.79,215.07,183.5,207.42,199.93,210.19,193.46,194.54,174.59,175.5,348.74,219.24,,152.34,162.51,311.04,132.93,234.87,187.81,169.68,208.57,331.23,167.02,204.48,247.62,161.88,179.22,133.93,195.99,213.97,204.42,201.95,153.68,233.31,227.79,234.45
744,S61,393.1,371.79,425.13,352.57,227.19,263.2,295.48,198.84,327.27,251.97,320.77,356.81,341.35,284.93,350.58,359.47,284.74,268.67,253.61,296.61,131,244.39,297.1,273.39,141.48,129.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
745,S61,287.9,283.68,238.48,177.9,147.94,147.43,112.81,146.35,153.93,203.74,207.8,188.52,192.1,195.93,181.16,188.4,170.48,190.57,108.16,160.16,176.03,228.06,204.33,183.35,200.19,181.07,163.18,196.73,137.95,133.88,115.97,135.84,187.23,157.71,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
749,S61,403.45,363.29,363.13,357.47,353.16,331.77,346.97,398.94,397.25,387.71,377.8,378.65,407.35,380.11,379.06,385.73,368.48,374.4,343.77,346.77,362.16,349,328.87,335.54,348.06,338.41,346.58,331.62,374.14,475.47,433.52,362.39,215.37,355.03,331.43,349.58,331.88,352.36,315.52,321.99,276.3,200.52,269.59,340.08,296.34,302.6,320.04,338.98,408.19,419.62,390.71,376.52,381.43,385.83,320.25,270.7,185.16,190.65,256.71,270.99,248.37,337.79,400.59,342.87,311.92,315.44
751,S64,65.16,68.29,68.61,101.7,687.42,717.9,687.87,699.35,1413,948.39,672.73,105.77,134.48,120.61,121.35,98.1,142.26,221.73,129.84,127.26,158.27,190.03,199.86,216.03,248.16,252.48,335.91,353.93,508.69,1330.34,239.26,218.48,296.93,234.77,139,204.39,196.84,268.96,253.91,236.25,228.66,265.95,226.23,218.24,257.04,243.73,208.62,208.48,268.35,249.03,243.77,0,199.81,169.92,182.73,220.67,204.72,218.24,257.01,206.56,222.2,228.54,217.31,214.64,237.14,255.17
752,S62,1266.81,1328.21,1815.92,,440.17,466.93,488.13,288.9,482.83,412.35,406.1,519.1,441.94,405.21,450.06,460.63,481.68,500.23,455.9,550.77,493.57,1186.29,428.77,88.71,342.42,381.45,361.69,433.92,384.39,383.41,417.7,361.55,395.9,340.58,381,355.1,376.97,241.5,298.33,274.88,280.77,292.56,294.24,233.36,292.32,253.38,149.43,214.96,271.36,312.27,323.42,325.38,388.34,381.39,436.09,409.21,379.83,549.7,442.05,310.56,340.14,372.79,340.52,384.12,373.5,359.63
754,S63,304.58,287.39,382.9,341.83,390.1,321.03,279.94,309.13,204.73,278.42,324.8,355.16,366,325.43,367.13,268.87,461.74,376.33,355.03,180.01,365.79,343.19,346.5,353.23,378.06,379.9,329.84,328.63,308.13,306.89,330.87,184.52,362.93,325.71,314.8,390.19,375.89,340.32,402.97,366.84,385.56,440.28,416.06,381.22,452.88,375.17,430.35,441.26,430.32,429.33,419.91,378.51,382.56,380.13,383.31,215.42,360.45,372.19,430.74,395.88,406.57,465.98,443.09,447.22,354.4,375.87
756,S63,596.61,567.57,580.26,622.7,555,602.5,612.87,561.61,597.83,626.97,625.6,585.84,567.58,618.29,617.45,205.97,0,0,0,0.23,0,0,433.3,612.29,586.83,602.48,645.32,553.23,574.9,566.8,563.57,606.04,560.5,574.26,571.5,550.5,562.9,606.89,506.01,372.3,498.08,532.26,499.41,523.43,586.56,552.6,,471.13,579.28,582.36,479.63,521.25,566.91,611.4,633.77,610.72,563.01,547.93,582.9,516.48,539.94,499.85,512.56,440.4,540.06,458.6
759,S63,144.58,148.18,148.94,159.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
760,S63,0,0,0,0.04,0,0,0,0,0,0,1211.85,283.18,244.9,252.77,272.5,412.78,423.59,566,272.95,315.16,480.03,608.35,332.62,254.43,252.92,249.01,601.91,3889.41,2049.71,371.37,467.67,379.83,271.1,246.25,235.67,204.96,204.15,226.9,212.02,241.98,347.01,257.99,355.21,237.55,178.27,274.52,256.49,260.64,220.46,239.76,262.97,233.24,255.1,245.63,766.54,337.38,247.85,174.42,205.23,203.29,199.89,178.51,193.31,224.13,218.57,98.4
763,S63,,,273.49,223.37,223.26,218.63,187.71,134.23,199.77,233.16,265.77,246.13,240.35,252.93,296.42,224.9,5.03,12.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
764,S64,197.81,216.18,158.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
766,S62,,,,,2.17,0,1.53,0,0.73,0.13,0,0,0,0,0.06,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
768,S64,415.55,409.71,343.87,380.7,345.39,326.19,,,,,,,,,,0.5,0,0,0,0,144.1,350.48,366.2,362.81,340.87,368.59,343.97,344.47,316.19,315.93,180.74,308.19,333.73,331.74,337.43,329.52,323.29,320.43,345.7,371.98,364.08,392.82,558.2,457.17,442.23,369.73,431,552.8,549.26,454.24,450.29,456.93,497.7,551.94,915.39,547.59,715.06,552.98,622.17,670.65,386.84,,,,,
770,S65,156.35,235.14,188.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
772,S66,320.87,348.11,244.75,0,401.42,415.1,414.35,424.23,429.1,502.45,373.2,457.26,389.19,372.32,399.65,471.7,281,458,426.26,1398,342.26,50.23,0,0,6.1,0,178.92,323.37,415.84,314.25,247.26,293.26,305.23,275.9,215.97,259.29,292.87,132.71,203.96,377.85,349.46,366.72,434.5,360.03,306.57,310.96,295.74,356.6,219.78,292.38,374.15,423.05,327.05,457.44,421,425.93,349.86,356.98,300,343.31,317.33,,332.55,509.91,403.98,517.47
774,S63,349.39,383.14,342.52,304.07,270.65,357.13,354.42,286.65,344.93,273.29,274.7,295.9,390.85,307.25,285.73,323.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
775,S60,142.81,112.86,105.61,85.17,661.81,130.37,307.06,786,103,128.42,176.17,227.84,109.29,86.54,231.19,108.03,93.81,90.77,130.35,122.35,77.17,104.23,157.5,195.3,151.55,111.86,78.53,130.23,106.42,95.16,49.32,57.6,84.93,81.68,82.87,135.89,102.95,213.43,191.9,148.59,142.49,137.4,143.25,83.15,142.38,132.71,148.76,,179.19,182.01,174.06,159.36,144.81,147,128.93,65.26,133.56,200.09,145.29,109.31,311.72,162.83,71.97,125.16,73.28,61.93
778,S66,185.48,244.36,243.26,232.1,254.84,171.9,152.68,201.84,182.3,198.45,180.87,132.97,226.77,206.25,206.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
779,S70,259.1,259.11,284.42,252.43,264.1,229.17,232.71,237.1,231.1,221.57,113,0,0.1,0.07,0,232.45,213.84,211.4,221.42,196.29,235.87,211.97,237.83,196.23,173.65,198.34,169.1,150.47,177.42,169.62,200.03,136.42,207.33,178.77,179.9,213.16,205.08,206.32,169.96,192.65,161.34,177.7,177.01,118.57,209.22,179.17,222.83,192.56,200.07,196,191.19,167.19,182.86,200.97,182.49,149.34,183.81,204.18,201.12,184.33,208.36,209.76,173.35,174.69,213.27,224.64
781,S70,93.06,93.89,111.58,100.03,105.61,123.8,122.03,108.77,101.23,102,130.23,107.65,96.74,97.57,104.32,106.9,101.16,105.27,107.87,59.81,100.63,96,85.4,99.58,85.1,90.97,93.28,84.63,87.97,85.41,940.85,469.92,114.92,95.68,136.03,102.97,104.64,105.62,107.47,93.63,101.14,98.18,107.97,101.09,93.48,90.49,75.93,78.21,93.84,102.86,109.33,101.31,100.28,107.46,103.24,88.78,98.67,115.2,85.11,99.35,84.19,97.01,96.35,119.31,99.35,641.21
785,S66,,,0.32,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0.03,0,186.97,552.23,430.23,516.23,448.68,549.48,505.14,454.16,471.87,344.18,558.03,523.7,516,512.23,480.94,564.63,570.68,561.87,553,554.95,492.39,447.24,534.44,296.42,0.06,192.06,117.4,367.49,279.73,570.86,564.93,543.75,563.45,522.33,630.51,693.99,577.45,536.34,486.44,555.39,507.41,570.98,432.13,494.3,593.64,652.47,610.07
787,S66,75.39,42.68,33.03,35.67,34.16,48.7,46.52,45.94,64.8,54.1,4.17,52.35,155.48,0,0,0,,,,50.26,39.1,36.35,32.47,26.97,38.52,44.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
788,S66,416.1,402.04,387.87,327.57,340.9,269.3,359.77,325.65,354.23,379.81,345.83,340.16,347.19,332.5,320.39,389.9,209.45,101.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
790,S66,3.65,22.57,0.06,0,2.13,0.37,131.97,20.81,1.2,0.48,1.17,2921.32,1.45,44.93,27.81,2.2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
792,S70,468.16,400.64,494.71,486,508.65,524.87,472.39,,0,313.1,435.33,375.58,463.74,455.5,528.81,1105.37,388.19,0.03,0,268.71,502.97,468.1,443.1,442.58,470.29,478.41,527.13,483.37,489.74,454.6,511.06,464.1,487.63,465.84,480.6,432.52,483.01,496.75,480.14,520.62,471.02,483,484.61,485.06,530.43,481.27,468.9,470.45,496.48,509.72,521.38,543.03,520.26,561.06,623.82,531.81,553.86,517.06,487.23,514.25,523.51,520.81,496.56,514.71,488.26,512.04
794,S70,,,191.5,191.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
795,S70,119.94,112.68,113.19,88.5,93.03,122.83,111.48,130.23,119.73,83.1,114,131.29,124.81,127.36,124.39,130.8,151.55,130.27,112.77,87.45,67.73,0,2669.1,3087.06,1131.16,139.83,131.4,69.1,59.58,43.36,83.23,77.74,39.47,42.06,65.07,63.03,95.65,71.75,62.4,74.82,73.34,57.99,53.48,44.19,132.93,147.94,180.1,189.58,157.94,149.69,198.83,194.46,198.97,196.68,204.91,175.76,44.88,172.25,169.11,180.06,167.89,186.94,188.68,177.69,141.1,195.86
796,S70,271.19,271.21,281.19,272.33,225.58,234.43,156.81,148.16,234.37,201.61,293.43,166.84,148.84,143.18,139.87,255.33,147.61,145.63,198,85.39,79.7,106.94,5346.47,0,0.13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
799,S70,48,47,53.32,64.17,68.13,75.4,56.68,62.87,548,837.42,206.27,423.87,736.77,293.93,484.32,65.4,47.16,49.1,43.74,43.84,42.97,42.1,39.73,36.17,38.97,29.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800,S70,449.58,454.75,403.42,372,340.77,353.9,270.71,326.42,296.53,347.35,381.17,213.71,0.23,0.29,19.16,13.2,0.74,0.47,0.03,6.58,634.87,82.03,0,0,18.1,0,275.42,531.73,857.16,642.99,453.86,150.52,330.03,783.65,553.47,433.55,434.56,567.86,585.97,579.24,161.94,42.3,26.27,5.69,2.67,0.61,0.06,0.32,0.34,285.38,,,,,,,,,,,,,,,,
803,S71,103.19,115.82,100.03,112.3,128.45,87.53,135.35,139.55,81.2,94.77,123.47,141.06,101.77,103.39,96.16,124.53,75.9,30.4,90.32,23.58,129.27,107.65,114.83,178.81,116.52,136.9,133.01,119.22,116.27,67.41,130.53,165.41,126.7,134.55,140.77,131.42,101.29,98.46,177.16,152.52,91.16,136.56,133.2,106.26,157.26,108.63,81.75,166.09,157.7,146.7,119.89,190.29,177.5,163.68,139.18,130.59,148.17,137.12,164.13,170.45,143.65,135.26,136.83,139.35,140.63,145.76
804,S71,517,422.07,427.48,445.8,429.71,458.47,723.77,467,,359.47,438.37,446.58,445.68,443.07,442.84,,457.08,406.17,516.32,488.77,434.23,365.35,400.83,451.51,428.84,428.45,465.41,428.47,449.61,433.89,468.19,522.03,444.07,477.64,454.63,430.9,432.08,424.57,446.33,463.62,375.33,611.76,1147.33,491.63,512.4,487.5,448.92,500.72,499.76,489.99,527.64,507.3,502.2,537.36,860.72,666.73,482.01,479.7,509.22,572.78,524.44,595.45,566.2,468.72,510.62,450.63
807,S73,157.45,99.93,160.94,183.4,126.94,135.8,356.19,128.42,210.43,321.97,107.23,84.16,107.94,202.25,287.19,140.9,91.48,13.17,0.84,389.06,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
808,S71,503.26,517.55,507.54,492.38,316.47,89.72,25.29,4.07,,0,0.13,0,0,0,0,,,,,,,1.11,0.2,0.94,0.16,0,0.07,0.35,325.19,323.01,275.63,334.17,325.35,369.9,388.71,345.06,306.45,401.16,365.69,401.1,347.97,43.59,0,0,2366.59,342.94,362.35,379.65,396.41,358.1,294.36,226.38,377.33,415.2,391.7,278.88,512.76,469.97,486.12,451.45,473.31,479.54,556,532.5,449.01,524.66
