Property reference,Postal District,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15
24,HX1,103.32,102.86,107.61,110.86,171.2,185.7,129.33,2.81,0,103.39,236.93,211.29,204.9,219.18,219.65,211.47,184.1,228.03,285.98,186.71,179.03,215.13,212.23,189.52,182.03,140.24,65.78,174.4,143.03,191.57,170.81,169.58,162.37,167.45,170.74,173.39,181.9,186.5,189.43,172.93,175.35,156.33,157.65,149.55,176.44,190.37,184.18,176.69,173.61,186.24,179.9,185.1,163.02,144.06,231.56,192.16,159.78,153.41,150.84,162,156.48,169.26,174.54,158.31,176.78,142.13
28,BD5,1401.25,1400.4,1285.52,1415.59,1410.75,1506.19,1514.68,1489.2,1452.58,1246.11,1280.2,1198.83,1237.72,1253.66,1284.62,1174.46,1844.07,2248.18,1241.19,1185.33,960.87,1054.01,1128.49,1017.35,1032.44,906.9,1217.85,1096.71,1096.2,1010.68,970.61,1015.65,1570.68,1372.03,1091.44,969.18,965.93,1015.89,902.61,1013.61,1050.3,1048.62,965.82,1041.71,910.17,976.85,1125.85,1056.35,994.96,1046.99,1146.41,1073.82,1065.48,1046.49,1020.54,1006.66,942,927.58,900.21,883.25,800.29,826.48,828,823.74,781.17,758.01
30,BD6,331.66,355.96,349.02,328.7,304.31,337.9,341.24,361.47,376.33,381.34,390.52,383.08,375.48,363.54,333.52,363.63,388.48,376.37,375.17,,,,,183.21,205.47,336.22,369.6,330.54,301.04,308.37,336.78,358.68,378.2,382.45,393.62,358.85,382.29,337.16,185.78,200.01,181.11,168.87,164.53,153.17,161.73,147.43,144.9,160.75,158.08,170.2,177.9,174.94,162.76,155.79,127.28,112.24,99.3,83.7,133.92,117.24,108.78,58.56,81.23,51.99,115.11,56.98
35,BD7,157.84,168.33,,185.03,175.94,190.33,197.52,165.52,138.53,159.1,141.6,136.26,129.71,65.5,0,,,,,163.8,164.16,150.87,127.87,138.06,154.19,128.62,130.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,BD7,333.74,336.5,323.55,345.02,322.09,364.73,363.63,315.97,337.27,293.19,315.37,348.26,94.84,0,0,0,0,0,0,84.45,315.8,292.87,274.9,300.94,352.26,271.48,278.49,354.73,384.42,320.43,368.1,373.71,351.67,353.71,354.87,366.32,367.55,386.7,332.87,345.18,95659.1,19738.05,8160.18,194786.57,392.58,364.35,444.29,472.53,425,361.19,472.54,535.21,537.34,364.92,344.67,453.92,410.14,343.51,299.7,353.76,357.97,307.99,413.88,339.87,392.05,325.95
40,BD7,616.06,524.54,525.52,623.57,563.32,684.33,861.19,1093.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,BD7,322.9,361.79,362.32,351.5,332.19,356.1,337.1,310.58,286.3,306.03,331.47,330.1,325,341.79,360.23,320.13,351.1,313.23,313.45,340.48,285.57,300.39,304.7,339.9,311.71,233.59,309.19,291.1,306.58,327.79,288.39,290.84,274.03,272.35,292.9,302.19,320.32,338.89,302.47,325.76,348.58,311.94,323.97,292.09,340.77,287.6,301.28,291.43,306.38,322.04,325.03,308.91,308.48,299.27,289.89,264.22,303.27,291.31,302.91,310.88,351.93,339.35,327.54,315.42,338.46,314.7
43,BD19,,,0.04,0,0,0,0,73.28,230.69,222.16,185.93,254.83,223.22,220.64,210.4,357.43,215.01,76.47,81.29,89.29,187.18,187.89,202.84,187.52,246.66,204.69,293.61,175.95,167.43,174.98,218.97,247.64,178.52,218.16,218.81,224.63,221.67,206.58,178.71,174.18,156.56,198.1,199.78,186.62,206.97,137.38,199.2,186.15,150.25,28.01,160.01,174.6,150.95,182.52,179.83,188.1,139.89,221.35,266.58,193.09,157.73,164.48,172.3,166.98,182.58,151.15
44,BD5,315.96,311.74,317.75,321.1,329.11,317.04,310.03,304.61,307.44,293.04,256.53,273.8,296.11,295.7,302.08,315.28,319.26,305.54,300.28,298.4,300.89,299,297.87,293.29,263.2,181.42,203.42,940.75,1055.25,473.21,646.08,492.47,1127.13,524.47,164.2,40.58,147.91,726.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,BD7,71.16,64.96,59.9,543.9,574.52,615,576.13,577.74,448.67,420.32,455,657.1,420,41.93,39.68,39.67,39.74,33.11,43.32,39.42,42.43,35.16,41.13,47.77,41.9,42.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,BD8,763.87,868.39,916.48,899.63,1118.42,814.23,686.58,890.19,910.33,863.9,564.06,493.83,748.97,697.94,814.69,538.3,500.95,498.9,782.34,1074.88,938.47,950.47,831.63,992.52,953.48,743.87,1049.12,917.8,944.29,984.46,22.94,0.13,585.23,780.9,453.27,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
48,BD9,703.05,579.19,618.04,747.21,747.4,823.26,782.82,613.31,861.65,980.4,842.4,850.64,974.05,974.54,981.98,1081.68,1201.73,1134.92,1107.16,1121.58,855.64,677.03,616.77,586.59,654.32,470.16,699.16,505.85,0,0,0,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,BD9,244.1,269.61,136.32,169.53,220.48,225.1,305.52,268.35,271.63,315.55,131.53,257.48,330.68,22.39,268.19,5.03,0,0,,0,1.9,0,0,0.13,0.35,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,BD9,106.75,681.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,BD10,9203.15,187.02,172.85,191.73,194.39,200.23,203.62,,214.18,207.29,181.82,206.16,179.4,192.46,,,,216.86,211.24,178.4,,155.08,158.35,61.68,0,51.81,203.47,186.7,185.08,177.18,167.08,191.52,183.53,172.1,164.72,165.92,151.47,149.48,150.37,148.26,164.47,177.75,172.13,169.55,172.26,155.39,152.76,160.52,152.85,158.85,158.33,165,152.33,163.17,159.24,130.51,144.21,136.68,168.39,192.19,215.77,210.6,106.58,38.79,110,123
57,BD20,447.29,488.89,385.68,191.67,239.45,236.27,201.16,202.19,229.53,42.68,0,0,4.87,0,0,0,0,0,0,0,9,30.42,235.4,370.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,BD17,0,0,0,267.13,400.21,432.47,420.48,316.74,423.63,433.45,423.7,501.1,477.45,438,405.52,564.73,295.15,231.37,319.94,434.26,434.67,386.16,29.17,0,257.35,278.25,348.99,325.2,680.97,403.67,341.94,231.52,391.43,375.35,344.88,364.81,346.26,345.79,354.92,379.74,407.47,311.28,393.68,254.82,377.1,397.6,404.81,490.15,396.7,405.84,460.17,384.15,411.04,409.5,350.56,413.62,353.85,318.98,361.8,336.54,377.22,405.64,412.47,408.45,443.41,412.65
61,BD8,338.58,119.46,260.35,0,226.32,390.83,353.03,417.19,354.83,262.06,437.27,307.61,147.65,269.64,314.39,528.8,481,392.23,474,,,,1419.05,897.22,526.01,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,BD18,761,786.29,1159.26,757,648.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,BD12,504.97,384.93,461.42,389.37,447.06,461.13,454.29,455.55,459.43,488.16,504.33,310.74,442.13,360.75,47.74,0,0,0,0,0,0,0,0,0,166.1,189.17,436.28,524.97,499.65,489.27,596.29,493.65,463.9,496.13,530.7,532.53,512.23,552.39,515.48,526.59,565.87,610.05,572.59,,,,,,,,,,,,,,,,,,,,,,,
65,BD12,176.65,178.89,189.29,216.53,211.32,210.77,215.26,203.96,253.88,243.13,196.57,191.42,192.97,195.68,224.65,204.4,214.32,219.87,201.81,216.9,188.77,131.42,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,BD13,245.11,244.05,234.5,236.02,241.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,BD15,393.81,399.79,400.81,425.47,428.26,435.93,386.81,454.16,433.77,512.55,420.93,433.65,427.68,403.14,443.1,438,,,,,,,,,465.29,456.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,BD20,0,6,55,95.07,349.61,375.93,326.94,314.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,BD19,248.71,317.14,242.42,359.38,333.61,409.23,353.45,200.23,326.23,305.94,315.4,348.29,336.61,348.25,344.26,320.07,291.55,269,153.35,124.02,353.73,230.39,318.07,300.74,259.94,218.48,289.75,275.43,338.06,278.72,301.55,148.46,247.27,300.19,251.67,257.68,247.14,288.28,203.37,292.77,118.16,275.67,272.35,192.45,228.91,141.23,195.18,256.33,228.83,263.8,242.85,251.63,205.14,289.77,297.81,111.48,217.02,246.66,168.33,195.24,186.76,289.45,121.15,216.96,204.13,285.35
73,BD15,252.42,108.64,64.48,74.1,55.26,52.77,179.36,,0.19,1.48,0.03,0.03,9.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,BD16,172.03,146.21,212.48,144.51,136.68,132.83,210.25,253.32,196.03,141.32,124.3,148.42,165.32,118.96,126.77,238.8,157.74,154.7,200.06,139.65,170.67,250.03,109.7,135.32,128.1,50.76,176.76,131.33,189.19,114.2,183.29,118.74,102.2,164.74,34.2,101.58,147.13,142.21,114.9,159.94,120.57,177.99,196.12,,,,,,,,,,,,,,,,,,,,,,,
82,BD17,292.45,302,308.87,121.47,189.45,,,,,318.45,396.93,499.16,317,339.46,394.74,371.63,404.71,391.2,310.06,377.93,335.32,278.55,314.07,313.39,299.45,256.41,370.74,317.4,395.55,351.84,344.23,288.7,388.13,284.71,333.5,328.42,298.77,310.79,317.79,306.78,315.15,240.09,201.48,140.47,0,219.92,338.43,256.67,295.23,283.08,292.84,279.67,304.16,304.47,265.78,240.84,265.92,245.18,301.38,231.24,208.91,197.23,191.41,171.96,162.7,2952.29
83,BD17,23790.15,338.82,278.37,287.3,147.39,266.6,251,,,,,,,,,,,,,,,304.9,313.2,335.58,349.44,4187.14,617.71,323.38,205.05,299.46,301.78,562.63,368.48,304.52,288.76,373.33,352.18,432.29,463.79,455.21,409.47,306,378.71,401.92,2361.6,956.46,718.56,335.64,394.37,615.96,503.85,424.07,418.75,426.24,562.82,425.1,402.22,430.36,393.73,424.09,464.3,483.03,410.23,398.46,701.39,697.13
86,BD18,91.55,163.93,134.9,196.53,140.16,133.1,170.74,158.26,995.33,1030.65,862.67,1095.81,1122.26,1346.79,935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,BD18,48.29,54.27,38.9,10.34,1.65,20.8,106,9.81,54.13,22.16,517.97,286.68,623.68,488.27,14.26,391.77,491.45,480.27,545.77,574.29,508.07,546,542.7,528.52,522.9,543.28,477.87,52.15,,,463.16,543.13,502.1,519.97,494.6,465.32,452,444.11,497.64,545.87,531.98,466.53,633.41,,,,604.21,521.51,552.89,545.09,494.07,515.58,540.7,474.87,489.79,524.49,,480.63,570.72,524.55,469.31,501.2,498.95,545.94,538.93,553.5
88,BD18,,239.77,336.32,251.2,378.26,370.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
