Reference,Road,Ward,Defect,Recorded,Completed,Cost,Easting,Northing
HWO2535171,DEWSBURY ROAD -  (Ardsley and Robin Hood) - A-0650-042,Ardsley and Robin Hood,Pothole Carriageway,29/10/2025,,71.67,428097.97,426533.23
HWO2535170,DEWSBURY ROAD -  (Ardsley and Robin Hood) - A-0650-042,Ardsley and Robin Hood,Pothole Carriageway,29/10/2025,,71.67,428102.45,426527.21
HWO2535159,DEWSBURY ROAD -  (Ardsley and Robin Hood) - A-0650-042,Ardsley and Robin Hood,Pothole Carriageway,29/10/2025,,71.67,428109.81,426517.81
HWO2535158,DEWSBURY ROAD -  (Ardsley and Robin Hood) - A-0650-042,Ardsley and Robin Hood,Pothole Carriageway,29/10/2025,,71.67,428098.83,426528.59
HWO2535155,DEWSBURY ROAD -  (Morley South) - A-0653-008,Morley South,Pothole Carriageway,29/10/2025,,71.67,428137.4,426741.43
HWO2535146,GILDERSOME SPUR -  (Morley North) - 23025111-002,Morley North,Pothole Carriageway,29/10/2025,,71.67,,
HWO2535145,GILDERSOME SPUR -  (Morley North) - 23025111-002,Morley North,Pothole Carriageway,29/10/2025,,71.67,424598.28,428256.28
HWO2535144,WELL HOUSE DRIVE -  (Roundhay) - 23013123-001,Roundhay,Pothole Carriageway,29/10/2025,,71.67,432020.88,436166.51
HWO2535135,MILLSHAW ROAD -  (Morley North) - A-6110-002,Morley North,Pothole Carriageway,29/10/2025,,71.67,428361.66,429491.12
HWO2535134,STONE PITS LANE -  (Morley North) - 23024379-001,Morley North,Pothole Carriageway,29/10/2025,,71.67,424830.44,428054.6
HWO2535133,MILLSHAW ROAD -  (Morley North) - A-6110-002,Morley North,Pothole Carriageway,29/10/2025,,71.67,428369.92,429464.98
HWO2535132,WELL HOUSE DRIVE -  (Roundhay) - 23013123-001,Roundhay,Pothole Carriageway,29/10/2025,,71.67,432102.82,436256.86
HWO2535124,DALES WAY -  (Guiseley and Rawdon) - 23024795-001,Guiseley and Rawdon,Pothole Carriageway,29/10/2025,,71.67,417709.76,441794.63
HWO2535122,NEPSHAW LANE SOUTH -  (Morley North) - 23030085-002,Morley North,Pothole Carriageway,29/10/2025,,71.67,425017.57,428171.63
HWO2535107,WELL HOUSE AVENUE -  (Roundhay) - 23013121-001,Roundhay,Pothole Carriageway,29/10/2025,,71.67,432177.63,436430.83
HWO2535106,TREEFIELD INDUSTRIAL ESTATE -  (Morley North) - 23030486-001,Morley North,Pothole Carriageway,29/10/2025,,71.67,424695.96,428568.95
HWO2535094,WELL HOUSE ROAD -  (Roundhay) - 23013125-002,Roundhay,Pothole Carriageway,29/10/2025,,71.67,432096.43,436354.86
HWO2535091,WELL HOUSE ROAD -  (Roundhay) - 23013125-002,Roundhay,Pothole Carriageway,29/10/2025,,71.67,432092.7,436318.57
HWO2535080,GREAT NORTH ROAD - (Kippax and Methley) - 23024262,Kippax and Methley,Pothole Carriageway,29/10/2025,,71.67,444010.4855,433773.6429
HWO2535079,SOUTHWOOD CRESCENT - (Cross Gates and Whinmoor) - 23011164,Cross Gates and Whinmoor,Pothole Carriageway,29/10/2025,,71.67,436112,435758
HWO2535078,KING LANE - (Alwoodley) - 23007074,Alwoodley,Pothole Carriageway,29/10/2025,,71.67,429714.0664,438996.3353
HWO2535077,KNOWSTHORPE WAY - (Burmantofts Richmond Hill) - 23014281,Burmantofts and Richmond Hill,Pothole Carriageway,29/10/2025,,71.67,432936.4337,431619.4586
HWO2535075,COOKRIDGE LANE - (Adel and Wharfedale) - 23003629,Adel and Wharfedale,Pothole Carriageway,29/10/2025,,71.67,424853.4231,441537.9427
HWO2535074,CALVERLEY LANE - (Horsforth) - 23021263,Horsforth,Pothole Carriageway,29/10/2025,,71.67,422197.2623,437027.6932
HWO2535073,THE CRESCENT - (Adel and Wharfedale) - 23012026,Adel and Wharfedale,Pothole Carriageway,29/10/2025,,71.67,426905.6914,439564.9635
HWO2535071,OLD ROAD - (Calverley and Farsley) - 23020165,Calverley and Farsley,Pothole Carriageway,29/10/2025,,71.67,421496.6084,434537.3092
HWO2535062,YORK ROAD -  (Killingbeck and Seacroft) - A-0064-2002,Killingbeck and Seacroft,Pothole Carriageway,28/10/2025,,71.67,,
HWO2535056,THORPE LANE -  (Guiseley and Rawdon) - 23021005-006,Guiseley and Rawdon,Pothole Carriageway,28/10/2025,,71.67,417333.39,441609.23
HWO2535051,RING ROAD BEESTON - (Beeston and Holbeck) - 23010281,Beeston and Holbeck ,Pothole Carriageway,28/10/2025,29/10/2025,71.67,427587.9177,431194.4843
HWO2535049,UPPER WORTLEY ROAD - (Farnley and Wortley) - 23012734,Farnley and Wortley,Pothole Carriageway,28/10/2025,,71.67,427093.2137,432717.0716
HWO2535042,QUEENS PROMENADE - (Morley South) - 23022668,Morley South,Pothole Carriageway,28/10/2025,,71.67,426260.05,428040.7
HWO2535041,QUEENS PROMENADE - (Morley South) - 23022668,Morley South,Pothole Carriageway,28/10/2025,,71.67,426224.8,428033.4
HWO2535040,QUEENS PROMENADE - (Morley South) - 23022668,Morley South,Pothole Carriageway,28/10/2025,,71.67,426201.9711,428024.8215
HWO2535039,QUEENS PROMENADE - (Morley South) - 23022668,Morley South,Pothole Carriageway,28/10/2025,,71.67,426182.6364,428012.8182
HWO2535036,GATELAND DRIVE -  (Harewood) - 23005352-001,Harewood,Pothole Carriageway,28/10/2025,29/10/2025,71.67,434150.89,439779.89
HWO2535035,GATELAND DRIVE -  (Harewood) - 23005352-001,Harewood,Pothole Carriageway,28/10/2025,29/10/2025,71.67,434181.47,439781.66
HWO2535033,GATELAND DRIVE -  (Harewood) - 23005352-001,Harewood,Pothole Carriageway,28/10/2025,29/10/2025,71.67,434367.69,439763.76
HWO2535031,THE LAURELS -  (Roundhay) - 23015061-001,Roundhay,Pothole Carriageway,28/10/2025,29/10/2025,71.67,431693.5,436988.31
HWO2535028,GATELAND LANE -  (Harewood) - 23005353-001,Harewood,Pothole Carriageway,28/10/2025,29/10/2025,71.67,434136.35,439248
HWO2535014,SEAFORTH PLACE -  (Gipton and Harehills) - 23010803-001,Gipton and Harehills,Pothole Carriageway,28/10/2025,,71.67,432370.49,435076.96
HWO2535012,SEAFORTH PLACE -  (Gipton and Harehills) - 23010803-001,Gipton and Harehills,Pothole Carriageway,28/10/2025,,71.67,432404.86,435031.88
HWO2535011,BACK SEAFORTH PLACE -  (Gipton and Harehills) - 23001375-001,Gipton and Harehills,Pothole Carriageway,28/10/2025,,71.67,432381.47,435032.17
HWO2535010,GLEDHOW WOOD ROAD -  (Roundhay) - 23005484-003,Roundhay,Pothole Carriageway,28/10/2025,29/10/2025,71.67,431873.4,436772.18
HWO2535008,BACK SEAFORTH PLACE -  (Gipton and Harehills) - 23001375-001,Gipton and Harehills,Pothole Carriageway,28/10/2025,,71.67,,
HWO2535006,SEAFORTH TERRACE -  (Gipton and Harehills) - 23010805-001,Gipton and Harehills,Pothole Carriageway,28/10/2025,,71.67,432326.11,435070.14
HWO2535005,GLEDHOW WOOD ROAD -  (Roundhay) - 23005484-003,Roundhay,Pothole Carriageway,28/10/2025,29/10/2025,71.67,431883.58,436774.85
HWO2535004,GLEDHOW WOOD ROAD -  (Roundhay) - 23005484-003,Roundhay,Pothole Carriageway,28/10/2025,29/10/2025,71.67,431867.01,436776.86
HWO2535002,STRATHMORE TERRACE -  (Gipton and Harehills) - 23011724-001,Gipton and Harehills,Pothole Carriageway,28/10/2025,,71.67,432361.38,434982.78
HWO2534998,STRATHMORE AVENUE -  (Gipton and Harehills) - 23011719-002,Gipton and Harehills,Pothole Carriageway,28/10/2025,,71.67,432378.1,434951.7
HWO2534994,STRATHMORE AVENUE -  (Gipton and Harehills) - 23011719-002,Gipton and Harehills,Pothole Carriageway,28/10/2025,,71.67,432374.33,434951.69
HWO2534989,BACK BROUGHTON TERRACE -  (Gipton and Harehills) - 23000782-001,Gipton and Harehills,Pothole Carriageway,28/10/2025,,71.67,432450.31,434859.31
HWO2534988,GLEDHOW WOOD ROAD -  (Roundhay) - 23005484-004,Roundhay,Pothole Carriageway,28/10/2025,29/10/2025,71.67,431595.09,437077.85
HWO2534987,BACK BROUGHTON TERRACE -  (Gipton and Harehills) - 23000782-001,Gipton and Harehills,Pothole Carriageway,28/10/2025,,71.67,432441.03,434871.5
HWO2534986,GLEDHOW WOOD CLOSE -  (Roundhay) - 23005482-001,Roundhay,Pothole Carriageway,28/10/2025,,71.67,431615.24,436984.92
HWO2534985,BACK BROUGHTON TERRACE -  (Gipton and Harehills) - 23000782-001,Gipton and Harehills,Pothole Carriageway,28/10/2025,,71.67,432417,434906
HWO2534983,BACK BROUGHTON TERRACE -  (Gipton and Harehills) - 23000782-001,Gipton and Harehills,Pothole Carriageway,28/10/2025,,71.67,432402.52,434930.62
HWO2534982,STRATHMORE VIEW -  (Gipton and Harehills) - 23011725-002,Gipton and Harehills,Pothole Carriageway,28/10/2025,,71.67,432389.57,434931.48
HWO2534979,STRATHMORE VIEW -  (Gipton and Harehills) - 23011725-002,Gipton and Harehills,Pothole Carriageway,28/10/2025,,71.67,432399.72,434931.68
HWO2534974,STRATHMORE VIEW -  (Gipton and Harehills) - 23011725-002,Gipton and Harehills,Pothole Carriageway,28/10/2025,,71.67,432446.61,434954.62
HWO2534964,GLEDHOW WOOD ROAD -  (Roundhay) - 23005484-004,Roundhay,Pothole Carriageway,28/10/2025,29/10/2025,71.67,431693.9,436870
HWO2534960,GLEDHOW WOOD ROAD -  (Roundhay) - 23005484-004,Roundhay,Pothole Carriageway,28/10/2025,29/10/2025,71.67,431710.31,436858.42
HWO2534957,GLEDHOW WOOD ROAD -  (Roundhay) - 23005484-004,Roundhay,Pothole Carriageway,28/10/2025,29/10/2025,71.67,431719.51,436855.83
HWO2534954,GLEDHOW WOOD ROAD -  (Roundhay) - 23005484-003,Roundhay,Pothole Carriageway,28/10/2025,29/10/2025,71.67,431775.49,436820.27
HWO2534953,THE ORCHARDS -  (Killingbeck and Seacroft) - 23012073-001,Killingbeck and Seacroft,Pothole Carriageway,28/10/2025,,71.67,436016.37,434787.12
HWO2534932,ROKER LANE - (Pudsey) - 23025444,Pudsey,Pothole Carriageway,28/10/2025,,71.67,423553.7747,431820.8928
HWO2534931,SPRING VALLEY CRESCENT - (Armley) - 23011262,Armley,Pothole Carriageway,28/10/2025,,71.67,424331.0432,434165.7177
HWO2534930,FOXHOLES LANE - (Calverley and Farsley) - 23020019,Calverley and Farsley,Pothole Carriageway,28/10/2025,,71.67,420752.0457,436637.6141
HWO2534923,ROKER LANE - (Pudsey) - 23025444,Pudsey,Pothole Carriageway,28/10/2025,,71.67,423620.5405,431750.9339
HWO2534922,WEETWOOD LANE - (Weetwood) - 23023870,Weetwood,Pothole Carriageway,28/10/2025,,71.67,427589.3959,437258.3049
HWO2534916,INGRAM ROAD DISTRIBUTOR - (Beeston and Holbeck) - 23014653,Beeston and Holbeck ,Pothole Carriageway,28/10/2025,28/10/2025,71.67,428606.5377,432618.8996
HWO2534915,BURLEY STREET - (Little London Woodhouse) - 23002727,Little London and Woodhouse,Pothole Carriageway,28/10/2025,28/10/2025,71.67,429086.0929,433845.3389
HWO2534914,GREEN HILL ROAD - (Armley) - 23005699,Armley,Pothole Carriageway,28/10/2025,28/10/2025,71.67,425281.1193,434219.4051
HWO2534908,VICTORIA AVENUE -  (Otley and Yeadon) - A-0658-012,Otley and Yeadon,Pothole Carriageway,27/10/2025,,71.67,421818.98,441177.95
HWO2534903,TRAFFORD GROVE -  (Gipton and Harehills) - 23012312-001,Gipton and Harehills,Pothole Carriageway,27/10/2025,,71.67,432564.27,435016.82
HWO2534892,SOUTH VIEW TERRACE -  (Otley and Yeadon) - 23021141-002,Otley and Yeadon,Pothole Carriageway,27/10/2025,,71.67,420998.03,440949.83
HWO2534889,HARPER ROCK -  (Otley and Yeadon) - 23021121-001,Otley and Yeadon,Pothole Carriageway,27/10/2025,,71.67,420987.82,440953.71
HWO2534880,HARPER LANE -  (Otley and Yeadon) - 23021120-004,Otley and Yeadon,Pothole Carriageway,27/10/2025,,71.67,420942.25,440970.1
HWO2534877,STRATHMORE STREET -  (Gipton and Harehills) - 23011723-001,Gipton and Harehills,Pothole Carriageway,27/10/2025,,71.67,432521.8,434990.16
HWO2534876,STRATHMORE STREET -  (Gipton and Harehills) - 23011723-001,Gipton and Harehills,Pothole Carriageway,27/10/2025,,71.67,432499.76,434967.95
HWO2534872,YEADON MOOR ROAD -  (Otley and Yeadon) - 23023822-001,Otley and Yeadon,Pothole Carriageway,27/10/2025,,71.67,422303.53,440575.82
HWO2534871,BACK SEAFORTH AVENUE -  (Gipton and Harehills) - 23001374-001,Gipton and Harehills,Pothole Carriageway,27/10/2025,,71.67,432538.5,434937.75
HWO2534868,TRAFFORD TERRACE -  (Gipton and Harehills) - 23012313-001,Gipton and Harehills,Pothole Carriageway,27/10/2025,,71.67,432536.5,434962.56
HWO2534865,WINN MOOR LANE -  (Harewood) - 23013399-005,Harewood,Pothole Carriageway,27/10/2025,29/10/2025,71.67,434181.59,439169.03
HWO2534864,BACK TRAFFORD AVENUE -  (Gipton and Harehills) - 23001467-001,Gipton and Harehills,Pothole Carriageway,27/10/2025,,71.67,432591,434940
HWO2534863,WINN MOOR LANE -  (Harewood) - 23013399-005,Harewood,Pothole Carriageway,27/10/2025,29/10/2025,71.67,434372.21,439079.51
HWO2534862,BACK TRAFFORD AVENUE -  (Gipton and Harehills) - 23001467-001,Gipton and Harehills,Pothole Carriageway,27/10/2025,,71.67,432591,434940
HWO2534860,WINN MOOR LANE -  (Harewood) - 23013399-003,Harewood,Pothole Carriageway,27/10/2025,29/10/2025,71.67,434638.21,438963.51
HWO2534858,WINN MOOR LANE -  (Harewood) - 23013399-003,Harewood,Pothole Carriageway,27/10/2025,29/10/2025,71.67,434736.13,438825.76
HWO2534852,HAREHILLS PARK AVENUE -  (Gipton and Harehills) - 23006021-001,Gipton and Harehills,Pothole Carriageway,27/10/2025,,71.67,432735.49,434926.92
HWO2534851,NORTH PARK ROAD -  (Roundhay) - 23008937-001,Roundhay,Pothole Carriageway,27/10/2025,28/10/2025,71.67,432434.74,437847.85
HWO2534845,NORTH PARK ROAD -  (Roundhay) - 23008937-001,Roundhay,Pothole Carriageway,27/10/2025,28/10/2025,71.67,432379.02,437851.44
HWO2534843,HAREHILLS PARK TERRACE -  (Gipton and Harehills) - 23006024-001,Gipton and Harehills,Pothole Carriageway,27/10/2025,,71.67,432822.92,434960.74
HWO2534840,MOORFIELD CLOSE -  (Otley and Yeadon) - 23025108-002,Otley and Yeadon,Pothole Carriageway,27/10/2025,,71.67,421610.45,440947.83
HWO2534839,NORTH PARK ROAD -  (Roundhay) - 23008937-001,Roundhay,Pothole Carriageway,27/10/2025,28/10/2025,71.67,432450.04,437845.75
HWO2534838,MOORFIELD CLOSE -  (Otley and Yeadon) - 23025108-001,Otley and Yeadon,Pothole Carriageway,27/10/2025,,71.67,421606.08,440932.27
HWO2534836,MOORFIELD ROAD -  (Otley and Yeadon) - 23024840-001,Otley and Yeadon,Pothole Carriageway,27/10/2025,,71.67,421540.46,440984.58
HWO2534830,MOORFIELD CRESCENT -  (Otley and Yeadon) - 23025432-001,Otley and Yeadon,Pothole Carriageway,27/10/2025,,71.67,421493.73,440998.82
HWO2534823,CAPITOL BOULEVARD - (Morley South) - 23030721,Morley South,Pothole Carriageway,27/10/2025,,71.67,,
HWO2534821,CAPITOL BOULEVARD - (Morley South) - 23030721,Morley South,Pothole Carriageway,27/10/2025,27/10/2025,71.67,427387.61,426473.45
HWO2534794,THE AVENUE -  (Roundhay) - 23012016-001,Roundhay,Pothole Carriageway,27/10/2025,28/10/2025,71.67,432205.8,438082.16
HWO2534785,BARRAS STREET - (Farnley and Wortley) - 23001743,Farnley and Wortley,Pothole Carriageway,27/10/2025,,71.67,426758,432950
HWO2534782,ROKER LANE - (Pudsey) - 23025444,Pudsey,Pothole Carriageway,27/10/2025,,71.67,423605.7516,431783.4526
HWO2534770,HESKETH LANE - (Morley South) - 23022931,Morley South,Pothole Carriageway,27/10/2025,,71.67,427940,425455
HWO2534769,SMITHY LANE - (Ardsley and Robin Hood) - 23022759,Ardsley and Robin Hood,Pothole Carriageway,27/10/2025,,71.67,428793.3,425815.75
HWO2534764,RING ROAD BEESTON - (Beeston and Holbeck) - 23010281,Beeston and Holbeck ,Pothole Carriageway,27/10/2025,28/10/2025,71.67,427489.6549,431345.9376
HWO2534763,LANSHAW ROAD - (Middleton Park) - 23007310,Middleton Park,Pothole Carriageway,27/10/2025,28/10/2025,71.67,431178.8343,428736.3704
HWO2534761,CHAPEL STREET - (Ardsley and Robin Hood) - 23022913,Ardsley and Robin Hood,Pothole Carriageway,27/10/2025,28/10/2025,71.67,428569.9393,426178.2535
HWO2534760,BRANCH ROAD - (Farnley and Wortley) - 23002380,Farnley and Wortley,Pothole Carriageway,27/10/2025,28/10/2025,71.67,426235.06,431914.714
HWO2534757,GILDERSOME LANE - (Farnley and Wortley) - 23005398,Farnley and Wortley,Pothole Carriageway,27/10/2025,28/10/2025,71.67,423924.695,430239.4112
HWO2534755,SCATCHERD LANE - (Morley South) - 23022480,Morley South,Pothole Carriageway,27/10/2025,28/10/2025,71.67,425665.1012,427321.2373
HWO2534754,HOPE ROAD - (Little London and Woodhouse) - 23006623,Little London and Woodhouse,Pothole Carriageway,27/10/2025,28/10/2025,71.67,430935.1461,433962.1648
HWO2534744,GREAT NORTH ROAD - (Kippax and Methley) - 23024262,Kippax and Methley,Pothole Carriageway,27/10/2025,,71.67,444475.7367,433208.6697
HWO2534743,BUCKLE LANE - (Guiseley and Rawdon) - 23023753,Guiseley and Rawdon,Pothole Carriageway,27/10/2025,,71.67,418183.3363,443745.5446
HWO2534738,OTLEY OLD ROAD - (Otley and Yeadon) - 23020001,Otley and Yeadon,Pothole Carriageway,27/10/2025,,71.67,423457.4204,442302.3253
HWO2534735,ADAMS GROVE - (Cross Gates and Whinmoor) - 23000078,Cross Gates and Whinmoor,Pothole Carriageway,27/10/2025,27/10/2025,71.67,437150.6246,435693.7626
HWO2534733,WAKEFIELD ROAD - (Rothwell) - 23023042,Rothwell,Pothole Carriageway,27/10/2025,27/10/2025,0,436163.571,427616.1106
HWO2534732,THE OVAL -  (Guiseley and Rawdon) - 23020995-001,Guiseley and Rawdon,Pothole Carriageway,24/10/2025,,71.67,418182,441781.52
HWO2534731,FAIRWAY -  (Guiseley and Rawdon) - 23020979-003,Guiseley and Rawdon,Pothole Carriageway,24/10/2025,,71.67,418000.35,442098.51
HWO2534729,BAYTON LANE -  (Otley and Yeadon) - 23021205-004,Otley and Yeadon,Pothole Carriageway,24/10/2025,,71.67,422372.2,440390.21
HWO2534703,SPRING GARDENS -  (Harewood) - 23023888-001,Harewood,Pothole Carriageway,24/10/2025,,71.67,432123.19,445267.46
HWO2534696,LIDGETT MOUNT -  (Roundhay) - 23007506-001,Roundhay,Pothole Carriageway,24/10/2025,,,431959.01,438127.68
HWO2534676,FOUNDRY PLACE -  (Gipton and Harehills) - 23005152-001,Gipton and Harehills,Pothole Carriageway,24/10/2025,,71.67,432556.99,435164.23
HWO2534660,ENFIELD -  (Otley and Yeadon) - 23021112-001,Otley and Yeadon,Pothole Carriageway,24/10/2025,,71.67,420682.67,440776.91
HWO2534657,CHATSWORTH ROAD -  (Gipton and Harehills) - 23003206-001,Gipton and Harehills,Pothole Carriageway,24/10/2025,29/10/2025,71.67,432361.98,435335.02
HWO2534654,ENFIELD -  (Otley and Yeadon) - 23021112-001,Otley and Yeadon,Pothole Carriageway,24/10/2025,,71.67,420712.56,440727.01
HWO2534649,CHATSWORTH ROAD -  (Gipton and Harehills) - 23003206-001,Gipton and Harehills,Pothole Carriageway,24/10/2025,29/10/2025,71.67,432388.33,435341.26
HWO2534648,BROOKLANDS CRESCENT -  (Otley and Yeadon) - 23021107-001,Otley and Yeadon,Pothole Carriageway,24/10/2025,,71.67,420809,440957.27
HWO2534629,FOUNDRY WALK -  (Gipton and Harehills) - 23005156-001,Gipton and Harehills,Pothole Carriageway,24/10/2025,29/10/2025,71.67,432558.59,435314.41
HWO2534622,FOUNDRY WALK -  (Gipton and Harehills) - 23005156-001,Gipton and Harehills,Pothole Carriageway,24/10/2025,28/10/2025,71.67,432673.74,435245.06
HWO2534592,CROSS LIDGETT PLACE -  (Roundhay) - 23003979-001,Roundhay,Pothole Carriageway,24/10/2025,28/10/2025,71.67,432040.22,437897.49
HWO2534586,EDWARD STREET -  (Little London Woodhouse) - 23004607-001,Little London and Woodhouse,Pothole Carriageway,24/10/2025,,71.67,430474.18,433749.99
HWO2534569,WORMALD ROW -  (Little London Woodhouse) - 23013760-001,Little London and Woodhouse,Pothole Carriageway,24/10/2025,,71.67,430084.88,433824.23
HWO2534553,HESKETH LANE - (Morley South) - 23022931,Morley South,Pothole Carriageway,24/10/2025,,71.67,427936.2699,425476.4054
HWO2534550,BUTCHER HILL - (Kirkstall) - 23002789,Kirkstall,Pothole Carriageway,24/10/2025,24/10/2025,71.67,425326.3536,437520.658
HWO2534549,OTLEY OLD ROAD - (Weetwood) - 23009269,Weetwood,Pothole Carriageway,24/10/2025,,71.67,425713.8698,439511.7745
HWO2534547,EMMOTT DRIVE - (Horsforth) - 23020664,Horsforth,Pothole Carriageway,24/10/2025,,71.67,422182.1827,439012.8061
HWO2534546,CRAGSIDE GARDENS - (Kirkstall) - 23003734,Kirkstall,Pothole Carriageway,24/10/2025,,71.67,425161.4791,437032.7219
HWO2534545,OTLEY ROAD - (Guiseley and Rawdon) - 23020805,Guiseley and Rawdon,Pothole Carriageway,24/10/2025,,71.67,418801.2246,442095.0096
HWO2534544,AIRE VALLEY WAY - (Burmantofts Richmond Hill) - 23032437,Burmantofts and Richmond Hill,Pothole Carriageway,24/10/2025,,71.67,432394.4835,432589.8633
HWO2534542,YORK ROAD - (Cross Gates and Whinmoor) - 23024124,Cross Gates and Whinmoor,Pothole Carriageway,24/10/2025,29/10/2025,71.67,435844.2611,436385.5441
HWO2534541,LOTHERTON LANE - (Harewood) - 23024932,Harewood,Pothole Carriageway,24/10/2025,,71.67,444869.7342,436472.6636
HWO2534539,KNOWSTHORPE LANE - (Burmantofts Richmond Hill) - 23014150,Burmantofts and Richmond Hill,Pothole Carriageway,24/10/2025,,71.67,432006.0529,432098.2949
HWO2534536,LOTHERTON LANE - (Harewood) - 23024932,Harewood,Pothole Carriageway,24/10/2025,,71.67,444871.792,436476.5724
HWO2534535,AIRE VALLEY WAY - (Burmantofts Richmond Hill) - 23032437,Burmantofts and Richmond Hill,Pothole Carriageway,24/10/2025,,71.67,431911.775,432302.49
HWO2534519,CONFERENCE ROAD -  (Armley) - 23003596-001,Armley,Pothole Carriageway,23/10/2025,,71.67,426212.11,433316.81
HWO2534518,CONFERENCE ROAD -  (Armley) - 23003596-001,Armley,Pothole Carriageway,23/10/2025,,71.67,426271.85,433322.76
HWO2534486,TEMPLE AVENUE -  (Rothwell) - 23023135-001,Rothwell,Pothole Carriageway,23/10/2025,,71.67,434897.08,429294.92
HWO2534484,THIRD AVENUE -  (Rothwell) - 23023137-001,Rothwell,Pothole Carriageway,23/10/2025,,71.67,435031.89,429158.12
HWO2534483,THIRD AVENUE -  (Rothwell) - 23023137-001,Rothwell,Pothole Carriageway,23/10/2025,,71.67,435035.41,429167.15
HWO2534480,TEMPLE AVENUE -  (Rothwell) - 23023135-002,Rothwell,Pothole Carriageway,23/10/2025,,71.67,435080.93,429228.05
HWO2534479,NORTHWOOD GARDENS -  (Temple Newsam) - 23015213-001,Temple Newsam,Pothole Carriageway,23/10/2025,27/10/2025,71.67,437162.27,433263.78
HWO2534478,TEMPLE AVENUE -  (Rothwell) - 23023135-002,Rothwell,Pothole Carriageway,23/10/2025,,71.67,435085.11,429224.5
HWO2534477,TEMPLE AVENUE -  (Rothwell) - 23023135-002,Rothwell,Pothole Carriageway,23/10/2025,,71.67,435143.92,429157.13
HWO2534475,SECOND AVENUE -  (Rothwell) - 23023132-001,Rothwell,Pothole Carriageway,23/10/2025,,71.67,,
HWO2534472,SECOND AVENUE -  (Rothwell) - 23023132-001,Rothwell,Pothole Carriageway,23/10/2025,,71.67,434893.17,429225.86
HWO2534469,CRESCENT AVENUE -  (Rothwell) - 23023122-001,Rothwell,Pothole Carriageway,23/10/2025,,71.67,434967.43,429172.6
HWO2534468,CRESCENT AVENUE -  (Rothwell) - 23023122-001,Rothwell,Pothole Carriageway,23/10/2025,,71.67,434976.01,429170.44
HWO2534467,CRESCENT AVENUE -  (Rothwell) - 23023122-001,Rothwell,Pothole Carriageway,23/10/2025,,71.67,434986.79,429160.46
HWO2534466,FIRST AVENUE -  (Rothwell) - 23023126-001,Rothwell,Pothole Carriageway,23/10/2025,,71.67,434794.45,429216.06
HWO2534465,FIRST AVENUE -  (Rothwell) - 23023126-001,Rothwell,Pothole Carriageway,23/10/2025,,71.67,434793.66,429234.53
HWO2534462,BULLOUGH LANE -  (Rothwell) - 23023121-001,Rothwell,Pothole Carriageway,23/10/2025,,71.67,434791.03,429296.38
HWO2534461,OLD BRANDON LANE -  (Harewood) - 23009151-001,Harewood,Pothole Carriageway,23/10/2025,27/10/2025,71.67,434407.28,439920.42
HWO2534458,HARRISONS AVENUE -  (Bramley and Stanningley) - 23006083-001,Bramley and Stanningley,Pothole Carriageway,23/10/2025,,71.67,,
HWO2534457,HOLYWELL LANE -  (Harewood) - 23006614-001,Harewood,Pothole Carriageway,23/10/2025,27/10/2025,71.67,433743.66,440128.34
HWO2534437,SCOTT HALL ROAD -  (Moortown ) - A-0061-120,Moortown,Pothole Carriageway,23/10/2025,,71.67,430208.98,438309.32
HWO2534436,SCOTT HALL ROAD -  (Moortown ) - A-0061-120,Moortown,Pothole Carriageway,23/10/2025,,71.67,430220.98,438333.58
HWO2534435,PARK LANE -  (Roundhay) - 23009350-002,Roundhay,Pothole Carriageway,23/10/2025,27/10/2025,71.67,432957.23,438854.64
HWO2534434,PARK LANE -  (Roundhay) - 23009350-001,Roundhay,Pothole Carriageway,23/10/2025,27/10/2025,71.67,432807.15,438668.66
HWO2534428,ALBION STREET - (Little London and Woodhouse) - 23000176,Little London and Woodhouse,Pothole Carriageway,23/10/2025,23/10/2025,71.67,430069,433817
HWO2534427,KNOWSTHORPE WAY - (Burmantofts Richmond Hill) - 23014281,Burmantofts and Richmond Hill,Pothole Carriageway,23/10/2025,,71.67,432777.8387,431734.1341
HWO2534425,WIKE LANE - (Harewood) - 23021984,Harewood,Pothole Carriageway,23/10/2025,,71.67,432603.9467,443128.9389
HWO2534424,DOCTORS LANE - (Kippax and Methley) - 23025221,Kippax and Methley,Pothole Carriageway,23/10/2025,,71.67,441278.9083,428335.1103
HWO2534416,WELL CROFT - (Otley and Yeadon) - 23022274,Otley and Yeadon,Pothole Carriageway,23/10/2025,,71.67,420497.5985,445332.3503
HWO2534414,MOORFIELD ROAD - (Otley and Yeadon) - 23024840,Otley and Yeadon,Pothole Carriageway,23/10/2025,,71.67,421515.878,440942.572
HWO2534412,COOKRIDGE LANE - (Adel and Wharfedale) - 23003629,Adel and Wharfedale,Pothole Carriageway,23/10/2025,,71.67,424877.2662,441521.5179
HWO2534411,RED HALL GREEN - (Cross Gates and Whinmoor) - 23010144,Cross Gates and Whinmoor,Pothole Carriageway,23/10/2025,27/10/2025,71.67,435268.0596,438218.6983
HWO2534407,QUEEN STREET - (Rothwell) - 23022990,Rothwell,Pothole Carriageway,23/10/2025,,71.67,433576.0343,427094.2292
HWO2534399,SOUTH END AVENUE - (Armley) - 23011102,Armley,Pothole Carriageway,23/10/2025,23/10/2025,71.67,424955.0682,434447.4021
