Stop_No,Location,X,Y,Platetype,Adshelnum,Plate_loca,Casetype,Schemestop,Lighting,Nexusplate,District,Status,Shelter_Ty
8388,JUBILEE ROAD,423567,568378,O3, ,STAINLESS STEEL,NORMAL, ,NONE,New,Newcastle,OPERATING,NONE
8389,JUBILEE ROAD,423364,568481,O4, ,stainless steel,NORMAL, ,NEARBY,New,Newcastle,OPERATING,NONE
8390,JUBILEE ROAD,423162,568599,O4, ,STAINLESS STEEL,NORMAL, ,NEARBY,New,Newcastle,OPERATING,NONE
8391,FAWDON PARK ROAD,422812,568894,C2, ,METAL,NORMAL, ,NEARBY,New,Newcastle,OPERATING,NONE
8392,FAWDON PK RD FAWDON,422606,568915,X4, ,METAL,NORMAL, ,AT STOP,New,Newcastle,OPERATING,NONE
8393,FAWDON PARK ROAD,422338,569153,O2,0502/0298,BRACKET,LARGE, ,NEARBY,New,Newcastle,OPERATING,ADSHEL
8395,"FAWDON PK RD,FAWDON",422625,568912,X4,0502/0717,BRACKET,LARGE, ,NONE,New,Newcastle,OPERATING,ADSHEL
8396,FAWDON PARK ROAD,422788,568899,X1,0502/0265,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
8397,JUBILEE ROAD,423131,568631,O4,0502/0344,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
8398,JUBILEE ROAD COXLODGE,423402,568472,O1,0502/0343,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
8399,JUBILEE ROAD,423572,568387,O3,0502/0342,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
8400,"JUBILEE RD,COXLODGE",423849,568168,C4,0502/0340,Removed,None, ,At Stop,New,Newcastle,OPERATING,NONE
8401,JUBILEE ROAD,423963,568074,O3,0502/0378,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
8402,"KENTON RD,COXLODGE",423099,568475,O4, ,STAINLESS STEEL,NONE, ,NEARBY,Yes,Newcastle,OPERATING,NONE
8403,KENTON ROAD LEAGREEN COURT,423160,568514,O1, ,STAINLESS STEEL,NONE, ,AT STOP,New,Newcastle,OPERATING,NONE
8404,HALEWOOD AVENUE KENTON SHOPS,422332,568042,O1, ,STAINLESS STEEL,NORMAL, ,AT STOP,New,Newcastle,OPERATING,NONE
8405,HILLSVIEW  AVENUE BRADWELL ROAD,422067,568121,O1,0502/0345,METAL,NORMAL, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
8406,HILLSVIEW AVENUE SHANDON WAY,422111,568433,O1, ,STAINLESS STEEL,NORMAL, ,AT STOP,New,Newcastle,OPERATING,NONE
8407,HILLSVIEW AVENUE NEWLYN ROAD,422456,568443,O1, ,STAINLESS STEEL,NORMAL, ,AT STOP,New,Newcastle,OPERATING,NONE
8408,DELAMERE ROAD NORTH KENTON,422661,568382,O1,0502/0520,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
8409,HILLSVIEW AVENUE,422410,568456,O2,0502/0522,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
8410,HILLSVIEW AVENUE,422115,568425,O2,0502/0487,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
8411,HILLSVIEW AVENUE,422070,568099,O2,0502/0488,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
8412,HALEWOOD AVENUE KENTON SHOPS,422354,567960,O1,0502/0608,BRACKET,LARGE, ,NONE,New,Newcastle,OPERATING,ADSHEL
8413,EDGEFIELD AVENUE NORTH KENTON,422744,568153,O1, ,STAINLESS STEEL,NORMAL, ,AT STOP,New,Newcastle,OPERATING,NONE
8414,EDGEFIELD AVENUE NORTH KENTON,422802,568485,O1, ,STAINLESS STEEL,NORMAL, ,AT STOP,New,Newcastle,OPERATING,NONE
8415,EDGEFIELD AVENUE FAWDON,422848,568805,O1, ,STAINLESS STEEL,NORMAL, ,NEARBY,New,Newcastle,OPERATING,NONE
8416,FAWDON LANE,422879,569064,X1,0502/0571,METAL,LARGE, ,NEARBY,New,Newcastle,OPERATING,SPECIAL
8417,FAWDON MORMON CHURCH,422729,569442,O1,0502/0485,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
8418,FAWDON FAWDON LANE,422864,569058,X1, ,STAINLESS STEEL,NORMAL, ,AT STOP,Yes,Newcastle,OPERATING,NONE
8419,EDGEFIELD AVENUE,422832,568745,O2,0502/0266,BRACKET,NORMAL, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
8420,EDGEFIELD AVENUE NORTH KENTON,422779,568431,O1, ,STAINLESS STEEL,NORMAL, ,AT STOP,New,Newcastle,OPERATING,NONE
8421,EDGEFIELD AVENUE NORTH KENTON,422735,568178,O1,0502/0521,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
8436,"STUDLEY TER,FENHAM",423170,565033,C4,0502/0473,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
8437,GENNERAL HOSPITAL NUNS MOOR RD,422902,565127,C2, ,STAINLESS STEEL,NORMAL, ,AT STOP,New,Newcastle,OPERATING,NONE
8438,STUDLEY TERRACE BRIGHTON GROVE,423041,565083,C2,0502/0510,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
8443,"Linden Avenu, Fenham, Newcastle",421851,565134,X4, ,STAINLESS STEEL,NORMAL, ,AT STOP,New,Newcastle,OPERATING,NONE
8444,CEDAR ROAD,421666,565268,O2, ,STAINLESS STEEL,NORMAL, ,AT STOP,New,Newcastle,OPERATING,NONE
8445,CEDAR ROAD,421459,565273,O2, ,STAINLESS STEEL,NORMAL, ,AT STOP,New,Newcastle,OPERATING,NONE
8446,"CEDAR RD,FENHAM",421481,565284,X4,0502/0592,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
8447,"CEDAR RD,FENHAM",421748,565273,X4,0502/0548,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
8448,LINDEN AVENUE,421858,565150,O2,0502/1030,STAINLESS STEEL,NORMAL, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
8449,HADRIAN ROAD,422112,564998,O2,0502/0284,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
8451,W DENTON WAY W/DENTON,420000,566533,O4,0502/9221,STAINLESS STEEL,LARGE, ,NONE,New,Newcastle,OPERATING,STONE
8452,WEST DENTON WAY,420335,566788,O4, ,STAINLESS STEEL,LARGE, ,NEARBY,New,Newcastle,OPERATING,STONE
8456,WEST D/WAY W/DENTON,420280,566656,X4, ,METAL,LARGE, ,NEARBY,New,Newcastle,OPERATING,ADSHEL
8460,"JESMOND DENE RD,J/MOND",424722,566903,C3,0502/1038,STAINLESS STEEL,NORMAL, ,AT STOP,New,Newcastle,OPERATING,NONE
8461,JESMOND DENE ROAD,424835,567004,C3,0502/0222,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
8462,"ILFORD RD,W/JESMOND - REDUNDANT STOP",424924,567150,C3,0502/0286,NONE,None, ,At Stop,Yes,Newcastle,OPERATING,ADSHEL
8463,ILFORD R W/JESMOND,424981,567371,O4, ,NONE,None, ,At Stop,Yes,Newcastle,OPERATING,NONE
8464,ILFORD RD W/JESMOND,424989,567373,O4, ,NONE,None, ,None,Yes,Newcastle,OPERATING,NONE
8465,JESMOND DENE ROAD,424847,567002,C3,0502/0172,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
8467,CHURCH AVENUE RECTORY GROVE,424729,568158,O1,0502/0312,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
8469,HOLLYWOOD AVE GOSFORTH,424562,568735,O4, ,METAL,NORMAL, ,NEARBY,Yes,Newcastle,OPERATING,NONE
8470,HOLLYWOOD AVE GOSFORTH,424780,568811,O4, ,METAL,NORMAL, ,NONE,Yes,Newcastle,OPERATING,NONE
8471,HOLLYWOOD AVENUE CHESWICK DRIVE,424974,568778,O1, ,STAINLESS STEEL,NORMAL, ,AT STOP,New,Newcastle,OPERATING,NONE
8472,"HOLLYWOOD AVE,GOSFORTH",424749,568800,O4,0502/0425,BRACKET,LARGE, ,AT STOP,Yes,Newcastle,OPERATING,ADSHEL
8473,HOLLYWOOD AVE GOSFORTH,424398,568697,O4, ,STAINLESS STEEL,NORMAL, ,AT STOP,Yes,Newcastle,OPERATING,NONE
8474,MITCHELL AVENUE JESMOND,424979,567018,O1, ,STAINLESS STEEL,NORMAL, ,AT STOP,New,Newcastle,OPERATING,NONE
8475,OSBORNE ROAD,424987,567031,X3,0502/0372,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
8476,HAZELDENE AVE K/BAR,421574,567596,O4, ,STAINLESS STEEL,NORMAL, ,AT STOP,New,Newcastle,OPERATING,NONE
8477,"PONTELAND RD,COWGATE",421753,566805,X7,0502/0601,BRACKET,LARGE, ,NEARBY,New,Newcastle,OPERATING,ADSHEL
8483,RICHARDSON ROAD,424115,565239,C3,0502/0903,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,ABACUS
8484,"RICHARDSON RD,S/TONGUES",423976,565393,X3, ,STAINLESS STEEL,NORMAL, ,AT STOP,New,Newcastle,OPERATING,NONE
8485,"RICHARDSON RD,S/TONGUES",423964,565422,X4, ,METAL,LARGE, ,NEARBY,Yes,Newcastle,OPERATING,NONE
8486,RVI DENTAL HOSPITAL,424217,565142,C3,0502/9432,STAINLESS STEEL,NORMAL, ,NEARBY,New,Newcastle,OPERATING,COMMUTERPORT
8487,"SHERATON ST,S/TONGUES",423821,565561,X3, ,STAINLESS STEEL,NORMAL, ,NEARBY,New,Newcastle,OPERATING,NONE
8488,SHERATON ST SPITAL TONGUES,423849,565546,X4,0502/0253,BRACKET,LARGE, ,AT STOP,Yes,Newcastle,OPERATING,ADSHEL
8492,BINSWOOD AVENUE,421054,566672,O2, ,STAINLESS STEEL,NONE, ,NEARBY,New,Newcastle,OPERATING,NONE
8493,BINSWOOD AVE BLAKELAW,421167,566700,O4, ,METAL,NONE, ,NEARBY,New,Newcastle,OUTSER,NONE
8494,SUNNYWAY BLAKELAW,421272,566915,O4, ,STAINLESS STEEL,NONE, ,NEARBY,New,Newcastle,OPERATING,NONE
8495,"TUDOR WAY,KINGSTON PK",421107,568663,X1, ,STAINLESS STEEL,NORMAL, ,AT STOP,Yes,Newcastle,OPERATING,NONE
8496,"TUDOR WAY,KINGSTON PK",420866,568607,X1,0502/0629,BRACKET,LARGE, ,AT STOP,Yes,Newcastle,OPERATING,ADSHEL
8497,"TUDOR WAY,KINGSTON PK",420797,568452,X1, ,STAINLESS STEEL,NORMAL, ,AT STOP,Yes,Newcastle,OPERATING,NONE
8498,"TUDOR WAY,KINGSTON PK",421004,568347,X4, ,STAINLESS STEEL,NORMAL, ,AT STOP,New,Newcastle,OPERATING,NONE
8499,TUDOR WAY K-PARK,420951,568379,X1, ,STAINLESS STEEL,NORMAL, ,AT STOP,Yes,Newcastle,OPERATING,NONE
8500,TUDOR WAY K-PARK,420849,568588,X1, ,STAINLESS STEEL,NORMAL, ,AT STOP,Yes,Newcastle,OPERATING,NONE
8501,TUDOR WAY K-PARK,421002,568660,X1, ,METAL,NORMAL, ,NEARBY,Yes,Newcastle,OPERATING,NONE
8502,"BRUNTON RD,KINGSTON PK",420943,569161,C4, ,STAINLESS STEEL,NORMAL, ,AT STOP,New,Newcastle,OPERATING,NONE
8503,"BRUNTON RD,KINGSTON PK",420902,569152,C4, ,STAINLESS STEEL,NORMAL, ,NEARBY,New,Newcastle,OPERATING,NONE
8505,ETAL WAY K/BAR,420665,567719,O4, ,STAINLESS STEEL,NORMAL, ,AT STOP,Yes,Newcastle,OUTSER,NONE
8506,ETAL WAY K/BAR,420808,567797,O4, ,STAINLESS STEEL,NONE, ,AT STOP,Yes,Newcastle,OUTSER,NONE
8513,STATION RD K-BANK FT,420600,568844,C4, ,METAL,NORMAL, ,NEARBY,New,Newcastle,OPERATING,NONE
8514,MAIN ROAD KENTON BANK FOOT,420753,568954,X1, ,STAINLESS STEEL,NORMAL, ,AT STOP,New,Newcastle,OPERATING,NONE
8900,FAWDON LANE FAWDON METRO,422853,568980,O2, ,STAINLESS STEEL,NORMAL, ,AT STOP,New,Newcastle,OUTSER,NONE
8901,WANSBECK ROAD,423409,568983,X1, ,STAINLESS STEEL,NORMAL, ,AT STOP,New,Newcastle,OPERATING,NONE
8902,WANSBECK RD GOSFORTH,423421,568962,X1, ,STAINLESS STEEL,NORMAL, ,AT STOP,New,Newcastle,OPERATING,NONE
8903,HOLLYWOOD AVENUE CHESWICK DRIVE,425017,568759,O1, ,METAL,NORMAL, ,NEARBY,New,Newcastle,OPERATING,NONE
8904,"THE CROSS WAY,KENTON",422710,567680,X4, ,STAINLESS STEEL,NORMAL, ,AT STOP,New,Newcastle,OPERATING,NONE
8905,"ASDA CAR PARK, REGENT CTR",424459,568804,X3, ,METAL,NONE, ,UNKOWN,Yes,Newcastle,OPERATING,NONE
8906,BELSAY GARDENS-W/B,422748,569537,C3, ,STAINLESS STEEL,NORMAL, ,AT STOP,New,Newcastle,OPERATING, 
8907,CALDWELL ROAD -E/B,422692,569613,C3, ,STAINLESS STEEL,NORMAL, ,AT STOP,New,Newcastle,OPERATING, 
8908,ACOMB CRESENT-E/B,422779,569805,C3, ,STAINLESS STEEL,NORMAL, ,AT STOP,New,Newcastle,OPERATING, 
8909,FAWDON,422986,569775,C2, ,STAINLESS STEEL,NORMAL, ,AT STOP,New,Newcastle,OPERATING, 
8910,ACOMB CRESENT-S/B,423031,569597,C3, ,STAINLESS STEEL,NORMAL, ,AT STOP,New,Newcastle,OPERATING, 
8911,KINGSTON PARK ROAD-E/B,422907,569419,C3, ,STAINLESS STEEL,NORMAL, ,AT STOP,New,Newcastle,OPERATING, 
8912,CREIGHTON AVENUE-S/B,422313,567610,C3, ,STAINLESS STEEL,NORMAL, ,AT STOP,New,Newcastle,OPERATING, 
8913,CREIGHTON AVENUE-N/B,422288,567568,C3, ,STAINLESS STEEL,NORMAL, ,AT STOP,New,Newcastle,OPERATING, 
8925,BBC TV CENTRE HUNTERS ROAD,423439,565300,O1, ,STAINLESS STEEL,NORMAL, ,NEARBY,New,Newcastle,OPERATING,NONE
8926,BBC TV CENTRE BARRACK ROAD,423410,565236,C4,0502/0686,BRACKET,LARGE, ,NEARBY,New,Newcastle,OPERATING,ADSHEL
8927,RVI DENTAL HOSPITAL,424218,565124,C3,0502/9433,STAINLESS STEEL,NORMAL, ,AT STOP,New,Newcastle,OPERATING,COMMUTERPORT
8928,"WINGROVE RD,FENHAM",422643,565250,X4, ,METAL,NORMAL, ,NEARBY,New,Newcastle,OPERATING,NONE
8929,CLAREMONT ROAD CLAREMONT PLACE,424466,565386,X3, ,STAINLESS STEEL,NONE, ,UNKOWN,New,Newcastle,OPERATING,NONE
8930,CLAREMONT ROAD CLAREMONT PLACE,424535,565337,X3, ,Stainless Steel,NORMAL, ,UNKOWN,New,Newcastle,OPERATING,NONE
8931,BURNFOOT WAY-E/B,422504,567291,C3, ,STAINLESS STEEL,NORMAL, ,AT STOP,New,Newcastle,OPERATING, 
8932,BURNFOOT WAY-W/B,422425,567267,C3, ,STAINLESS STEEL,NORMAL, ,AT STOP,New,Newcastle,OPERATING, 
8950,ETAL LANE N/B/HALL,420368,567421,X4,0502/0416,BRACKET,LARGE, ,BENCH SHELTER,New,Newcastle,OPERATING,ADSHEL
8951,"ETAL LANE,N/B/HALL",420319,567403,X4,0502/0283,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
8952,SILVER LONNEN SLATYFORD,421065,565975,O1, ,STAINLESS STEEL,NORMAL, ,AT STOP,New,Newcastle,OPERATING,NONE
8953,"SILVER LONNEN,FENHAM",421052,565948,X4, ,STAINLESS STEEL,NORMAL, ,AT STOP,New,Newcastle,OPERATING,NONE
8954,"BOWFELL AVE,KENTON",421774,567458, , ,METAL,NONE, ,UNKOWN,No,Newcastle,OUTSER,NONE
8955,"BOWFELL AVE,KENTON",421784,567431, , ,STAINLESS STEEL,NONE, ,UNKOWN,No,Newcastle,OUTSER,NONE
8956,"BOWFELL AVE,KENTON",421811,567420, , ,STAINLESS STEEL,NONE, ,UNKOWN,No,Newcastle,OUTSER,NONE
8957,"BOWFELL AVE,KENTON",421909,567337, , ,STAINLESS STEEL,NONE, ,UNKOWN,No,Newcastle,OUTSER,NONE
8958,MILLFIELD AVENUE-E/B,422329,567361,C3, ,STAINLESS STEEL,NORMAL, ,AT STOP,New,Newcastle,OPERATING, 
8959,MILLFIELD AVENUE-W/B,422376,567361,C3, ,STAINLESS STEEL,NORMAL, ,AT STOP,New,Newcastle,OPERATING, 
8960,WYCLIFFE AVENUE,422654,567143,1, ,Stainless Steel,Normal, , ,New,Newcastle,OPERATING,NONE
8961,WYCLIFFE AVENUE,422667,567131,1, ,Stainless Steel,Normal, , ,New,Newcastle,OPERATING,NONE
8962,"Cragston Avenue, Blakelaw",421103,567288,X1, ,Stainless Steel,Normal, , , ,Newcastle,OPERATING,NONE
8975,BANK FOOT METRO STATION,420655,568863,C3, ,Stainless Steel,None, ,At Stop,Yes,Newcastle,OPERATING,NONE
8976,KINGSTON PARK SHOPS,421431,568865,C3,0502/091,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
8977,KINGSTON PARK SHOPS,421437,568843,C3,0502/0099,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
8978,"TUDOR WAY,KINGSTON PK",421244,568604,C4, ,STAINLESS STEEL,NORMAL, ,AT STOP,New,Newcastle,OPERATING,NONE
8979,TUDOR WAY K/PARK,421281,568580,C4,5020719,BRACKET,LARGE, ,NEARBY,New,Newcastle,OPERATING,ADSHEL
8980,HAZELDENE AVENUE,421884,568311,O2,0502/0632,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
8981,"TWO BALL LONNEN,FENHAM",421544,565533,O4, ,STAINLESS STEEL,NORMAL, ,AT STOP,Yes,Newcastle,OPERATING,NONE
8982,"HAZELDENE AVE,KENTON",421592,567607,O4, ,STAINLESS STEEL,NORMAL, ,UNKOWN,New,Newcastle,OPERATING,NONE
8983,"BOWFELL AVE,KENTON BAR",421739,567515, , ,STAINLESS STEEL,NONE, ,UNKOWN,No,Newcastle,OUTSER,NONE
8984,"BOWFELL AVE,KENTON BAR",421737,567532, , ,METAL,NONE, ,UNKOWN,No,Newcastle,OUTSER,NONE
8985,ETAL WAY,420661,567599,O4, ,METAL,NORMAL, ,NEARBY,Yes,Newcastle,OUTSER,NONE
8986,"STATION ROAD,BANK FOOT-STOP WITHDRAWN",420597,568854,X3, ,NONE,NONE, ,UNKOWN,Yes,Newcastle,OPERATING,NONE
8987,"SUNNYWAY, BLAKELAW",421436,566465,C3, ,NONE,None, ,At Stop,New,Newcastle,OPERATING,NONE
8988,"TESCOS, KINGSTON PARK",421617,568796,X4, ,NONE,LARGE, ,UNKOWN,New,Newcastle,OPERATING,SPECIAL
8989,KINGSTON PARK ROAD-W/B,421794,569674,C3, ,STAINLESS STEEL,NORMAL, ,AT STOP,New,Newcastle,OPERATING, 
8990,HILLSVIEW AVENUE KENTON CENTRE,422261,567926,O1, ,Bracket,Large, , ,New,Newcastle,OPERATING,ADSHEL
8991,HILLSVIEW AVENUE KENTON CENTRE,422236,567915,O1, ,Stainless steel, , , ,New,Newcastle,OPERATING, 
08ELDAS,ELDON SQUARE BUS STATION - STAND A,424681,564624, , ,CHECK,LARGE, ,UNKOWN,No,Newcastle,OPERATING,STAND
08ELDBS,ELDON SQUARE BUS STATION - STAND B,424690,564624, , ,STAND,LARGE, ,UNKOWN,No,Newcastle,OPERATING,STAND
08ELDCS,ELDON SQUARE BUS STATION - STAND C,424700,564624, , ,CHECK,LARGE, ,UNKOWN,No,Newcastle,OPERATING,STAND
08ELDDS,ELDON SQUARE BUS STATION - STAND D,424710,564625, , ,CHECK,LARGE, ,UNKOWN,No,Newcastle,OPERATING,STAND
08ELDES,ELDON SQUARE BUS STATION - STAND E,424719,564625, , ,CHECK,LARGE, ,UNKOWN,No,Newcastle,OPERATING,STAND
08ELDFS,ELDON SQUARE BUS STATION - STAND F,424729,564626, , ,CHECK,LARGE, ,UNKOWN,No,Newcastle,OPERATING,STAND
08ELDGS,ELDON SQUARE BUS STATION - STAND G,424738,564627, , ,CHECK,LARGE, ,UNKOWN,No,Newcastle,OPERATING,STAND
08ELDHS,ELDON SQUARE BUS STATION - STAND H,424749,564627, , ,CHECK,LARGE, ,UNKOWN,No,Newcastle,OPERATING,STAND
08ELDJS,ELDON SQUARE BUS STATION - STAND J,424760,564628, , ,CHECK,LARGE, ,UNKOWN,No,Newcastle,OPERATING,STAND
08ELDKS,ELDON SQUARE BUS STATION - STAND K,424771,564629, , ,CHECK,LARGE, ,UNKOWN,No,Newcastle,OPERATING,STAND
08G01,"HIGH ST,GOSFORTH",424441,567496,C9,0502/0140,BRACKET,LARGE, ,AT STOP,Yes,Newcastle,OPERATING,ADSHEL
08G02,GOSFORTH HIGH STREET,424422,567516,C7,0505/0112,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
08G03,"HIGH ST,GOSFORTH",424388,567868,C6,0502/0082,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
08G04,"HIGH ST,GOSFORTH",424396,567819,C10,0502/0081,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
08G05,GOSFORTH HIGH STREET,424415,568013,O1,0502/0083,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
08G06,GOSFORTH HIGH STREET,424394,567944,O1,0502/0117,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
08G07,"HIGH ST,GOSFORTH",424409,568041,C6,0502/0092,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
08G08,"CHURCH RD,GOSFORTH",424538,568136,C3,0502/0248,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
08G09,"CHURCH RD,GOSFORTH",424541,568148,C4,0502/0539,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
08G10,"SALTERS RD,GOSFORTH",424342,568138,C4, ,Stainless Steel,NORMAL, ,NEARBY,New,Newcastle,OPERATING,NONE
08G11,"SALTERS RD,GOSFORTH",424276,568121,C5, ,STAINLESS STEEL,NORMAL, ,NEARBY,New,Newcastle,OPERATING,NONE
08G12,"HIGH ST,GOSFORTH",424377,568352,C9,0502/0662,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
08G13,"HIGH ST,GOSFORTH",424401,568289,C8,0502/0088,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
08HAYLS,HAYMARKET BUS STATION - STAND L,424733,564716, , ,CHECK,LARGE, ,UNKOWN,No,Newcastle,OPERATING,STAND
08HAYMS,HAYMARKET BUS STATION - STAND M,424736,564720, , ,CHECK,LARGE, ,UNKOWN,No,Newcastle,OPERATING,STAND
08HAYNS,HAYMARKET BUS STATION - STAND N,424738,564726, , ,CHECK,LARGE, ,UNKOWN,No,Newcastle,OPERATING,STAND
08HAYPS,HAYMARKET BUS STATION - STAND P,424741,564731, , ,CHECK,LARGE, ,UNKOWN,No,Newcastle,OPERATING,STAND
08HAYQS,HAYMARKET BUS STATION - STAND Q,424744,564736, , ,CHECK,LARGE, ,UNKOWN,No,Newcastle,OPERATING,STAND
08HAYRS,HAYMARKET BUS STATION - STAND R,424747,564742, , ,CHECK,LARGE, ,UNKOWN,No,Newcastle,OPERATING,STAND
08HAYSS,HAYMARKET BUS STATION - STAND S,424750,564747, , ,CHECK,LARGE, ,UNKOWN,No,Newcastle,OPERATING,STAND
08HAYTS,HAYMARKET BUS STATION - STAND T,424752,564752, , ,CHECK,LARGE, ,UNKOWN,No,Newcastle,OPERATING,STAND
08HAYUS,HAYMARKET BUS STATION - STAND U,424755,564757, , ,CHECK,LARGE, ,UNKOWN,No,Newcastle,OPERATING,STAND
08HAYVS,HAYMARKET BUS STATION - STAND V,424758,564762, , ,CHECK,LARGE, ,UNKOWN,No,Newcastle,OPERATING,STAND
08HAYWS,HAYMARKET BUS STATION - STAND W,424761,564767, , ,CHECK,LARGE, ,UNKOWN,No,Newcastle,OPERATING,STAND
08HAYXS,HAYMARKET BUS STATION - STAND X,424764,564773, , ,CHECK,LARGE, ,UNKOWN,No,Newcastle,OPERATING,STAND
08HAYYS,HAYMARKET BUS STATION - STAND Y,424766,564778, , ,CHECK,LARGE,Qlink,UNKOWN,No,Newcastle,OPERATING,STAND
08NC01,"CLAREMONT RD,N/CASTLE",424743,565233,C3, ,STAINLESS STEEL,NORMAL, ,AT STOP,New,Newcastle,OPERATING,NONE
08NC02,CLAREMONT ROAD,424670,565265,C3,0502/????,Bracket,Large, ,AT STOP,Yes,Newcastle,OPERATING,ADSHEL
08NC03,CLAREMONT RD N/CASTLE,424854,565069, ,0502/0930,Bracket,Large, ,Yes, ,Newcastle,OUTSER,ADSHEL
08NC04,BARRAS BRIDGE,424843,564984,C7,0502/0184,BRACKET,LARGE, ,AT STOP,Yes,Newcastle,OPERATING,ADSHEL
08NC05,BARRAS BRIDGE,424837,564917,C3, ,STAINLESS STEEL,NORMAL, ,NEARBY,Yes,Newcastle,OPERATING,NONE
08NC06,"ST THOMAS STREET, RVI",424552,564868,C3, ,STAINLESS STEEL,NORMAL, ,NEARBY,New,Newcastle,OPERATING,NONE
08NC07,ST THOMAS STREET,424671,564797,C2,0502/9008,STAINLESS STEEL,NORMAL, ,NEARBY,Yes,Newcastle,OPERATING,NONE
08NC08,"ST THOMAS STREET, RVI",424548,564860,C3, ,STAINLESS STEEL,NORMAL, ,AT STOP,New,Newcastle,OPERATING,NONE
08NC09,"PERCY ST,NEWCASTLE",424627,564585,C3,0502/0013,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
08NC10,"PERCY ST,NEWCASTLE",424619,564565,C5, ,BRACKET,LARGE, ,AT STOP,New,Newcastle,OPERATING,ADSHEL
08NC101,"RAILWAY ST,NEWCASTLE",424313,563540,X5, ,STAINLESS STEEL,NORMAL, ,UNKOWN,New,Newcastle,OPERATING,NONE
08NC102,"BOTTOM WESTGATE ROAD, OUTSIDE CLARKES FISH SHOP.",424181,564097,C4, ,STAINLESS STEEL,NORMAL, ,UNKOWN,New,Newcastle,OPERATING,NONE
08NC103,"WESTMORLAND RD,N/CASTLE",424357,563833,C2, ,Stainless Steel,TWIN, ,NEARBY,New,Newcastle,OUTSER,NONE
08NC104,"WESTGATE RD,NEWCASTLE",424287,564087,C4, ,STAINLESS STEEL,NORMAL, ,UNKOWN,New,Newcastle,OPERATING,NONE
08NC105,"JOHN DOBSON ST,N/CLE",425035,564673,C2,0502/0151,BRACKET,LARGE, ,BENCH SHELTER,Yes,Newcastle,OPERATING,SIGMA
08NC107,ST MARYS PLACE,424920,564879,C3,0502/0640,BRACKET,LARGE, ,AT STOP,Yes,Newcastle,OPERATING,ADSHEL
08NC108,"BLACKETT ST,NEWCASTLE",424801,564450,C1, ,STAINLESS STEEL,NORMAL, ,NONE,New,Newcastle,OPERATING,NONE
08NC109,"WESTMORLAND RD,N/CLE",424374,563820,C2,0502/0652,BRACKET,LARGE, ,AT STOP,Yes,Newcastle,OPERATING,ADSHEL
