Stop_No,Location,X,Y,Platetype,Adshelnum,Plate_loca,Casetype,Schemestop,Lighting,Nexusplate,District,Status,Shelter_Ty
10121,ST CUTHBERT RD H/CROSS,431121,567421,O4, ,STAINLESS STEEL,NONE, ,AT STOP,Yes,North Tyneside,OPERATING,NONE
10122,"ST PETERS RD,HOLY CROSS",430879,567180,O4, ,METAL,NORMAL, ,POWERED,New,North Tyneside,OPERATING,NONE
10131,NORHAM RD NTH NEW YORK,432706,569712,X1, ,STAINLESS STEEL,NORMAL, ,POWERED,Yes,North Tyneside,OPERATING,NONE
10132,"NORHAM RD NTH,NEW YORK",432882,569463,X4, ,BRACKET,LARGE, ,NEARBY,New,North Tyneside,OPERATING,ARUN
10133,"NORHAM RD NTH,B/MILL",433014,569245,X1, ,STAINLESS STEEL,NORMAL, ,NEARBY,Yes,North Tyneside,OPERATING,NONE
10134,"NORHAM RD NTH,B/MILL",433176,568912,X4, ,BRACKET,LARGE, ,POWERED,New,North Tyneside,OPERATING,TIMELINE
10135,NORHAM ROAD,433264,568680,O3,0503/0287,BRACKET,LARGE, ,AT STOP,New,North Tyneside,OPERATING,ADSHEL
10136,"VERNE RD,W/CHIRTON",433444,568343,X4, ,BRACKET,LARGE, ,NEARBY,New,North Tyneside,OPERATING,ABACUS
10137,"VERNE RD,W/CHIRTON",433659,568460,X3, ,BRACKET,LARGE, ,None,Yes,North Tyneside,OPERATING,ARUN
10138,"CENTRAL AVE,W/CHIRTON",433982,568552,X4, ,BRACKET,LARGE, ,POWERED,New,North Tyneside,OPERATING,TIMELINE
10139,CENTRAL AVENUE,434113,568377,O2, ,BRACKET,LARGE, ,POWERED,New,North Tyneside,OPERATING,TIMELINE
10140,"RIPLEY AVE,MEADOWELL",434258,568036,X3, ,STAINLESS STEEL,NORMAL, ,NEARBY,Yes,North Tyneside,OPERATING,NONE
10141,"WATERVILLE RD,M/WELL",434253,567708,X4, ,STAINLESS STEEL,LARGE, ,AT STOP,New,North Tyneside,OPERATING,ARUN
10142,"WATERVILLE RD,M/WELL",434662,567794,X3, ,STAINLESS STEEL,NORMAL, ,AT STOP,Yes,North Tyneside,OPERATING,NONE
10143,"WATERVILLE RD,CHIRTON",434995,567871,X4, ,STAINLESS STEEL,NORMAL, ,AT STOP,New,North Tyneside,OPERATING,NONE
10144,"WATERVILLE RD,SMITHS PK",434577,567761,X4, ,BRACKET,LARGE, ,NEARBY,New,North Tyneside,OPERATING,ARUN
10145,AVON AVENUE,434110,567720,O1, ,STAINLESS STEEL,NORMAL, ,AT STOP,New,North Tyneside,OPERATING,NONE
10146,"RIPLEY AVE,MEADOWELL",434247,568080,X3, ,STAINLESS STEEL,NORMAL, ,AT STOP,Yes,North Tyneside,OPERATING,NONE
10147,CENTRAL AVENUE,434114,568361,O2, ,METAL,NORMAL, ,NEARBY,New,North Tyneside,OPERATING,NONE
10148,"CENTRAL AVE,W/CHIRTON",433959,568575,X4, ,STAINLESS STEEL,NORMAL, ,NEARBY,New,North Tyneside,OPERATING,NONE
10149,"VERNE RD,W/CHIRTON",433640,568439,X4, ,STAINLESS STEEL,NORMAL, ,NEARBY,New,North Tyneside,OPERATING,NONE
10150,"NORHAM RD,W/CHIRTON",433372,568368,X4,0502/0222,BRACKET,LARGE, ,NEARBY,New,North Tyneside,OPERATING,ADSHEL
10151,"NORHAM RD,WEST CHIRTON",433271,568635,X4,0503/0221,BRACKET,LARGE, ,NEARBY,New,North Tyneside,OPERATING,ADSHEL
10152,NORHAM ROAD NORTH,433155,568938,O1, ,BRACKET,LARGE, ,NEARBY,New,North Tyneside,OPERATING,ARUN
10153,CHIRTON INDUSTRIAL ESTATE,432970,569300,O1, ,BRACKET,LARGE, ,NEARBY,New,North Tyneside,OPERATING,ARUN
10154,"NORHAM RD NTH,NEW YORK",432865,569474,X4, ,BRACKET,LARGE, ,NEARBY,New,North Tyneside,OPERATING,ARUN
10155,NORHAM ROAD NORTH ELM ROAD,432719,569685,O1, ,METAL,NORMAL, ,AT STOP,New,North Tyneside,OPERATING,NONE
10156,"WESTMINSTER AVE,N/YORK",433001,569750,X3, ,BRACKET,LARGE, ,NEARBY,New,North Tyneside,OPERATING,INSIGNIA
10157,WESTMINSTER AVENUE,433000,569771,O1, ,BRACKET,LARGE, ,NEARBY,New,North Tyneside,OPERATING,ARUN
10158,"BILLY MILL LN,NEW YORK",433351,569960,C4,0503/0218,BRACKET,LARGE, ,NEARBY,New,North Tyneside,OPERATING,ADSHEL
10159,BILLY MILL LANE,433559,569544,C3,0503/0202,METAL,LARGE, ,NEARBY,New,North Tyneside,OPERATING,ADSHEL
10160,LYNN RD BILLY MILL,433678,569388,C4,0503/0220,BRACKET,LARGE, ,NEARBY,New,North Tyneside,OPERATING,ADSHEL
10161,LYNN ROAD BILLY MILL,434017,569160,C3, ,BRACKET,LARGE, ,None,New,North Tyneside,OPERATING,ARUN
10162,REGENCY GDNS BILLY MILL,434347,569047,C4,0503/0216,BRACKET,LARGE, ,NEARBY,New,North Tyneside,OPERATING,ADSHEL
10163,QUEEN ALEXANDRA COLLEGE,434843,569034,C4, ,BRACKET,LARGE, ,NEARBY,New,North Tyneside,OPERATING,ABACUS
10164,QUEEN ALEXANDRA COLLEGE,434747,569027,C4, ,BRACKET,LARGE, ,None,New,North Tyneside,OPERATING,ARUN
10165,REGENCY GDNS BILLY MILL,434308,569001,X1, ,BRACKET,LARGE, ,NEARBY,Yes,North Tyneside,OPERATING,ABACUS
10166,LYNN ROAD BILLY MILL,433874,569256,C3, ,STAINLESS STEEL,NORMAL, ,NEARBY,New,North Tyneside,OPERATING,NONE
10167,BILLY MILL LANE,433607,569411,C3,0503/0209,BRACKET,LARGE, ,NEARBY,New,North Tyneside,OPERATING,ADSHEL
10168,BILLY MILL LANE WHITEHOUSE LANE,433522,569610,C3,0503/0206,BRACKET,LARGE, ,NEARBY,New,North Tyneside,OPERATING,ADSHEL
10169,DEVON ROAD TRURO GROVE,433921,569970,O1, ,BRACKET,LARGE, ,None,New,North Tyneside,OPERATING,ARUN
10170,WHITEHOUSE LANE,433915,569756,O1, ,STAINLESS STEEL,NORMAL, ,AT STOP,New,North Tyneside,OPERATING,NONE
10171,ALWINTON AVENUE,433730,569700,O1, ,STAINLESS STEEL,NORMAL, ,NEARBY,New,North Tyneside,OPERATING,NONE
10172,ALWINTON AVENUE,433910,569615,O1, ,STAINLESS STEEL,NORMAL, ,AT STOP,New,North Tyneside,OPERATING,NONE
10173,MORWICK ROAD WELDON PLACE,433986,569514,O1, ,STAINLESS STEEL,NORMAL, ,AT STOP,New,North Tyneside,OPERATING,NONE
10174,MORWICK ROAD NETHERTON AVENUE,433985,569370,O1, ,STAINLESS STEEL,NORMAL, ,NEARBY,New,North Tyneside,OPERATING,NONE
10175,MORWICK ROAD,433977,569337,O1, ,STAINLESS STEEL,NORMAL, ,NEARBY,New,North Tyneside,OPERATING,NONE
10176,MORWICK ROAD,433979,569493,O1, ,METAL,NORMAL, ,NEARBY,New,North Tyneside,OPERATING,NONE
10177,ALWINTON AVENUE,433897,569608,O1, ,STAINLESS STEEL,NORMAL, ,AT STOP,New,North Tyneside,OPERATING,NONE
10178,ALWINTON AVENUE,433711,569719,O1, ,STAINLESS STEEL,NORMAL, ,NEARBY,New,North Tyneside,OPERATING,NONE
10179,DEVON ROAD MALVERN ROAD,433953,569864,O1, ,STAINLESS STEEL,NORMAL, ,NEARBY,New,North Tyneside,OPERATING,NONE
10180,BEACH RD PRESTON,434592,569775,X1, ,Stainless Steel,None, ,Nearby,Yes,North Tyneside,OPERATING,NONE
10181,BEACH RD PRESTON,434934,569882,X1, ,Stainless Steel,None, ,Nearby,Yes,North Tyneside,OPERATING,NONE
10182,BEACH ROAD PRESTON,434454,569674,X1, ,stainless Steel,None, ,Nearby,Yes,North Tyneside,OPERATING,NONE
10183,"WALTON AVE, PRESTON",434961,569581,X3, ,BRACKET,LARGE, ,NEARBY,New,North Tyneside,OPERATING,TIMELINE
10184,WALTON AVENUE ANCROFT AVENUE,434884,569342,O1, ,BRACKET,LARGE, ,None,New,North Tyneside,OPERATING,ARUN
10185,WALTON AVE CHIRTON,434828,569176,O4, ,STAINLESS STEEL,NORMAL, ,NEARBY,Yes,North Tyneside,OPERATING,NONE
10186,QUEEN ALEXANDRA COLLEGE,434780,568922,C4, ,STAINLESS STEEL,NORMAL, ,AT STOP,New,North Tyneside,OPERATING,NONE
10187,"HAWKEYS LANE, CHIRTON",434765,568726,C4, ,BRACKET,LARGE, ,POWERED,New,North Tyneside,OPERATING,TIMELINE
10188,QUEEN ALEXANDRA COLLEGE,434772,568936,C4, ,BRACKET,LARGE, ,NEARBY,New,North Tyneside,OPERATING,ARUN
10189,WALTON AVE CHIRTON,434836,569225,O4, ,STAINLESS STEEL,NORMAL, ,NEARBY,Yes,North Tyneside,OPERATING,NONE
10190,WALTON AVE PRESTON,434891,569391,O4, ,BRACKET,LARGE, ,Solar,Yes,North Tyneside,OPERATING,ARUN
10191,"NORTH RD,PRESTON",434968,569674,X3, ,BRACKET,LARGE, ,Solar,New,North Tyneside,OPERATING,ARUN
10192,"NELSON TCE,PERCY MAIN",433745,566972,C2, ,BRACKET,LARGE, ,POWERED,Yes,North Tyneside,OPERATING,ABACUS
10193,ST JOHNS TERRACE PERCY MAIN,433775,567153,O1, ,BRACKET,LARGE, ,None,New,North Tyneside,OPERATING,ARUN
10194,ST JOHNS TCE PERCY MAIN,434000,567034,O1, ,BRACKET,LARGE, ,POWERED,New,North Tyneside,OPERATING,TIMELINE
10195,NELSON TERRACE PERCY MAIN,433740,567071,C3, ,BRACKET,LARGE, ,NEARBY,Yes,North Tyneside,OPERATING,ABACUS
10200,DELAVAL AVE W CHIRTON,434270,568615,X4, ,BRACKET,LARGE, ,POWERED,New,North Tyneside,OPERATING,TIMELINE
10201,THE QUADRANT WEST CHIRTON,434204,568548,X4, ,STAINLESS STEEL,NORMAL, ,AT STOP,New,North Tyneside,OPERATING,NONE
10202,TYNEMOUTH ROAD,419602,562565,C4, ,METAL,LARGE, ,NEARBY,New,North Tyneside,OPERATING,NONE
